village,geo_x,geo_y,geographic_position,geographic_group,median_unwrapped_angle_deg,median_pair_distance
torp,145.0,265.0,281.9425332445665,North,-103.33179906835177,8.954723633931332
torsas,144.0,504.0,46.285579526498864,South,-48.83547148763337,10.560068506078137
torso,95.0,414.0,126.59083766943033,Centre,-120.77902521627699,7.428159939631868
v_vingaker,139.0,402.0,145.93168962913032,Centre,-72.947830044436,12.520659713698747
vackelsang,116.0,500.0,45.44304483319151,South,1.025819136311597,15.428367989365404
vaxtorp,78.0,504.0,35.00965688106874,South,-41.06839218178722,9.107392500462199
vemdalen,102.0,266.0,273.610801277416,North,-132.60927279989988,9.645323251913617
viby,116.0,402.0,142.0022014345107,Centre,56.30869932819742,15.541843991960874
vilhelmina,152.0,178.0,368.85934835581264,North,-91.77272396557883,12.498883783328496
villberga,166.0,379.0,173.2064099508079,North,-110.7940834110649,13.56231556571508
vindeln,212.0,194.0,363.3454268629456,North,-127.53652692983296,22.511146590075597
