pair,village,geo_x,geo_y,n_observations,first_endpoint,second_endpoint,midpoint,separation_change
uː->oː,strom,132.0,211.0,3,-3.301966843535316,-2.378544835427596,-5.67696351514032,-1.9625679405770882
uː->oː,tjallmo,128.0,416.0,3,2.1058352106614704,-9.421378990192222,-4.040264542107291,-11.166287406280631
uː->oː,torhamn,135.0,521.0,3,2.1239777528099943,3.267412142707225,2.69569494775861,1.1434343898972301
uː->oː,torp,145.0,265.0,2,-6.857913087462613,-0.8841294003192959,-3.8710212438909535,5.9737836871433165
uː->oː,torsas,144.0,504.0,3,2.0216994797409065,4.9393169447551335,3.4805082122480195,1.4370218041260419
uː->oː,torso,95.0,414.0,3,-9.90312553742906,-13.278764772018736,-11.590945154723899,-3.3756392345896753
uː->oː,v_vingaker,139.0,402.0,3,-8.943839474015316,-8.931575815676986,-8.937707644846151,0.01226365833833043
uː->oː,vackelsang,116.0,500.0,3,7.741968066623808,2.353606904678415,4.964402840660889,-5.555130451925837
uː->oː,vaxtorp,78.0,504.0,3,9.628381288505825,11.251948970847199,6.297661415898372,1.33049239121973
uː->oː,vemdalen,102.0,266.0,3,-7.162382736578903,-8.227924607966386,-7.695153672272642,0.47328649186980876
uː->oː,viby,116.0,402.0,2,9.40331753218771,-8.181256772544954,0.6110303798213798,-17.584574304732666
uː->oː,vilhelmina,152.0,178.0,1,-8.471171747467451,-3.8794643737571075,-6.1753180606122795,4.591707373710342
uː->oː,villberga,166.0,379.0,3,-8.92586322225543,-5.629054312927165,-7.9500209403586535,4.641933254862977
yː->ʉ̟ː,ankarsrum,149.0,456.0,3,-9.795212197211429,-13.600167401059695,-11.697689799135562,3.5556700710411366
yː->ʉ̟ː,anundsjo,182.0,230.0,3,-7.726833795651114,-10.43550095609307,-9.081167375872095,-4.00858959861327
yː->ʉ̟ː,are,89.0,227.0,3,-2.8496210680032323,-4.422198177194276,-5.8861906521416,0.3148815988768767
yː->ʉ̟ː,arjeplog,171.0,122.0,3,0.8965859430054107,0.7039159338183175,1.4792294015611263,0.8570689729264256
yː->ʉ̟ː,arstad,70.0,485.0,3,6.794618769508624,3.348857672195376,5.0717382208520005,0.27415003047124387
yː->ʉ̟ː,arsunda,156.0,343.0,3,-0.5510893730558618,-0.9155434043521604,-0.7338587951146711,2.126197945333466
yː->ʉ̟ː,asby,125.0,446.0,3,7.440177722145464,-5.572596501650013,-1.9951592416973718,-7.626792534558426
yː->ʉ̟ː,aspas,112.0,229.0,2,-5.949644382311572,-3.3768801036849894,-4.663262242998281,2.5727642786265834
yː->ʉ̟ː,bara,79.0,539.0,3,-3.8231743410531496,5.716705841972817,0.9467657504598344,9.539880183025968
yː->ʉ̟ː,bengtsf,62.0,401.0,3,-5.9542285249936375,0.6995822551983081,-2.627323134897664,-0.6401877381200194
yː->ʉ̟ː,berg,112.0,252.0,3,-5.709530044923094,-14.775590777340769,-10.242560411131933,-4.407666862681221
yː->ʉ̟ː,bjurholm,197.0,211.0,3,-8.811307832192053,-3.1691572506538845,-5.770370605810603,5.811575705546463
yː->ʉ̟ː,boda,163.0,475.0,1,5.151378892635522,0.282182119387042,2.716780506011284,-4.869196773248481
yː->ʉ̟ː,borga,337.0,331.0,1,3.2099084033599077,36.45521525057868,19.832561826969297,33.24530684721878
yː->ʉ̟ː,brando,237.0,337.0,3,11.094894917107565,22.76354882235081,17.821324088288243,13.183019561971275
yː->ʉ̟ː,bredsattra,158.0,489.0,3,-4.041245609273785,-5.55652569881272,-4.798885654043254,-1.515280089538937
yː->ʉ̟ː,broby,99.0,510.0,2,-3.104919701506967,-4.555826969599787,-3.830373335553375,-1.4509072680928217
yː->ʉ̟ː,burseryd,84.0,478.0,2,1.776671567932703,-1.0660371764451249,0.35531719574378906,-2.8427087443778287
yː->ʉ̟ː,burtrask,222.0,177.0,3,-0.9859981294252103,-0.387728629375006,-0.3018193029943054,5.388917799771848
yː->ʉ̟ː,dalby,82.0,336.0,2,-2.5837228404580186,-0.905036888108455,-1.7443798642832369,1.6786859523495625
yː->ʉ̟ː,dragsfjard,272.0,350.0,3,5.948536229088206,19.596076923082638,12.75901751162215,13.647540693994433
yː->ʉ̟ː,faro,208.0,445.0,3,-1.2412551185318323,9.827178028772396,3.640659052753566,14.596266260220503
yː->ʉ̟ː,floby,85.0,439.0,3,0.4028329840612361,-2.771058846488401,-1.1841129312135807,-2.776009753932949
yː->ʉ̟ː,frandef,63.0,423.0,3,-0.7654508185817246,-2.0824157406218493,-1.4239332796017872,-1.316964922040123
yː->ʉ̟ː,frillesas,58.0,470.0,2,9.390252357134857,-2.4567217299714685,3.4667653135816945,-11.846974087106325
yː->ʉ̟ː,grangarde,119.0,354.0,1,7.959665379332593,2.6558108064423744,5.307738092887484,-5.303854572890219
yː->ʉ̟ː,graso,189.0,350.0,3,8.479496540887295,8.387388553063266,4.18982480784572,1.6506860248341475
yː->ʉ̟ː,hammaro,90.0,391.0,3,-1.9072746495549082,-3.148273012210462,-2.5277738308826843,-1.7751602519185212
yː->ʉ̟ː,hamneda,93.0,496.0,3,-8.949376192282925,-9.33235787140139,-7.403729082297752,3.267874677489088
yː->ʉ̟ː,haraker,149.0,373.0,3,5.683341472680261,10.512713362843577,8.09802741776192,4.829371890163314
yː->ʉ̟ː,houtskar,245.0,347.0,1,1.2612290645733206,16.938495032375396,9.099862048474359,15.677265967802075
yː->ʉ̟ː,jamshog,108.0,514.0,3,15.74436237711642,-0.572151042715374,7.586105667200525,-6.876252484725004
yː->ʉ̟ː,jarnboas,117.0,378.0,3,14.258590478769992,15.587983968827032,14.448812590701856,-4.2538904064301715
