method,grouping,village,speaker,pair,first_vowel,second_vowel,geo_x,geo_y,anchor_pair_length,first_endpoint,second_endpoint,midpoint,observed_separation,separation_change
pca,speaker,st_anna,ym_1,ʉ̟ː->øː,ʉ̟ː,øː,157.0,436.0,23.65566518158654,-2.4279764683802214,13.417107509549723,5.49456552058475,39.50074915951648,15.845083977929942
pca,speaker,st_anna,ym_2,uː->oː,uː,oː,157.0,436.0,7.573081840041759,15.606580822640547,2.936660067605675,9.271620445123112,-5.096838914993114,-12.669920755034873
pca,speaker,st_anna,ym_2,oː->ɑː,oː,ɑː,157.0,436.0,27.262853415824775,-2.068119936564184,-1.8557643466962683,-1.9619421416302265,27.475209005692694,0.21235558986791858
pca,speaker,st_anna,ym_2,ɑː->æː,ɑː,æː,157.0,436.0,47.12769533944659,-4.445205723344249,-2.1809302034843374,-3.313067963414292,49.3919708593065,2.2642755198599076
pca,speaker,st_anna,ym_2,æː->eː,æː,eː,157.0,436.0,24.183879714413216,-9.707990705834902,9.864771834829043,0.07839056449706924,43.75664225507716,19.572762540663945
pca,speaker,st_anna,ym_2,yː->ʉ̟ː,yː,ʉ̟ː,157.0,436.0,10.203868683987409,-7.4453769272192,8.540740043316122,0.5476815580484612,26.189985654522726,15.986116970535317
pca,speaker,st_anna,ym_2,ʉ̟ː->øː,ʉ̟ː,øː,157.0,436.0,23.65566518158654,21.5871285614941,12.976382805247612,17.281755683370857,15.044919425340053,-8.610745756246486
pca,speaker,st_anna,ym_3,uː->oː,uː,oː,157.0,436.0,7.573081840041759,13.895295794399944,4.803897605201738,9.349596699800841,-1.5183163491564478,-9.091398189198207
pca,speaker,st_anna,ym_3,oː->ɑː,oː,ɑː,157.0,436.0,27.262853415824775,-1.6276040019384188,-0.9641767649043281,-1.2958903834213737,27.926280652858868,0.6634272370340923
pca,speaker,st_anna,ym_3,ɑː->æː,ɑː,æː,157.0,436.0,47.12769533944659,-4.499672292828641,5.829730351150253,0.6650290291608065,57.457097983425484,10.329402643978895
pca,speaker,st_anna,ym_3,æː->eː,æː,eː,157.0,436.0,24.183879714413216,-9.466558567708901,2.690321972985136,-3.388118297361883,36.34076025510725,12.156880540694033
pca,speaker,st_anna,ym_3,yː->ʉ̟ː,yː,ʉ̟ː,157.0,436.0,10.203868683987409,-0.5253450779206023,-4.12514226578643,-2.325243671853515,6.6040714961215805,-3.5997971878658284
pca,speaker,st_anna,ym_3,ʉ̟ː->øː,ʉ̟ː,øː,157.0,436.0,23.65566518158654,11.529213497408023,15.680577515931573,13.604895506669797,27.807029200110094,4.151364018523555
pca,speaker,st_anna,ym_4,uː->oː,uː,oː,157.0,436.0,7.573081840041759,8.116499722647196,-10.292601337847373,-1.088050807600088,-10.836019220452808,-18.409101060494567
pca,speaker,st_anna,ym_4,oː->ɑː,oː,ɑː,157.0,436.0,27.262853415824775,-19.13308678216114,-16.15280704827144,-17.64294691521629,30.243133149714474,2.9802797338896987
pca,speaker,st_anna,ym_4,ɑː->æː,ɑː,æː,157.0,436.0,47.12769533944659,-16.12834248751761,-6.09103025931658,-11.109686373417096,57.16500756764762,10.037312228201031
pca,speaker,st_anna,ym_4,æː->eː,æː,eː,157.0,436.0,24.183879714413216,7.062059068122378,12.62068256265007,9.841370815386224,29.742503208940906,5.558623494527691
pca,speaker,st_anna,ym_4,yː->ʉ̟ː,yː,ʉ̟ː,157.0,436.0,10.203868683987409,-0.5279795022732647,0.11188125705021279,-0.2080491226115251,10.843729443310886,0.6398607593234775
pca,speaker,st_anna,ym_4,ʉ̟ː->øː,ʉ̟ː,øː,157.0,436.0,23.65566518158654,5.755482672204595,12.621935257377059,9.188708964790827,30.522117766759006,6.866452585172468
pca,speaker,stenberga,ym_1,uː->oː,uː,oː,128.0,474.0,7.573081840041759,14.174506920782191,6.652770378366794,10.41363864957449,0.05134529762636079,-7.521736542415399
pca,speaker,stenberga,ym_1,oː->ɑː,oː,ɑː,128.0,474.0,27.262853415824775,26.929609062001216,-1.4780636421820101,12.725772709909602,-1.1448192883584496,-28.407672704183224
pca,speaker,stenberga,ym_1,ɑː->æː,ɑː,æː,128.0,474.0,47.12769533944659,-14.420582164755801,-4.467247839399868,-9.443915002077835,57.08102966480252,9.953334325355932
pca,speaker,stenberga,ym_1,æː->eː,æː,eː,128.0,474.0,24.183879714413216,0.22015255869678854,-2.649903770299394,-1.2148756058013037,21.31382338541703,-2.870056328996185
pca,speaker,stenberga,ym_1,yː->ʉ̟ː,yː,ʉ̟ː,128.0,474.0,10.203868683987409,18.309156472165597,0.2928239995076126,9.300990235836606,-7.812463788670577,-18.016332472657986
pca,speaker,stenberga,ym_1,ʉ̟ː->øː,ʉ̟ː,øː,128.0,474.0,23.65566518158654,12.121018754570034,6.100752853448516,9.110885804009275,17.635399280465023,-6.020265901121515
pca,speaker,stenberga,ym_2,uː->oː,uː,oː,128.0,474.0,7.573081840041759,4.2281934087176305,2.954080792962016,3.5911371008398234,6.298969224286145,-1.2741126157556142
pca,speaker,stenberga,ym_2,oː->ɑː,oː,ɑː,128.0,474.0,27.262853415824775,1.1366929022640084,-7.451404999522607,-3.1573560486292993,18.67475551403816,-8.588097901786615
pca,speaker,stenberga,ym_2,ɑː->æː,ɑː,æː,128.0,474.0,47.12769533944659,-6.539268575101095,0.6370229179159266,-2.9511228285925837,54.30398683246361,7.176291493017018
pca,speaker,stenberga,ym_2,æː->eː,æː,eː,128.0,474.0,24.183879714413216,2.526124660339621,-4.2820228671961695,-0.877949103428274,17.375732186877425,-6.808147527535791
pca,speaker,stenberga,ym_2,yː->ʉ̟ː,yː,ʉ̟ː,128.0,474.0,10.203868683987409,-1.540234323105746,3.4683603330890116,0.9640630049916331,15.212463340182165,5.008594656194756
pca,speaker,stenberga,ym_2,ʉ̟ː->øː,ʉ̟ː,øː,128.0,474.0,23.65566518158654,2.312722319683732,-2.7813974681188487,-0.2343375742175583,18.56154539378396,-5.09411978780258
pca,speaker,stenberga,ym_3,uː->oː,uː,oː,128.0,474.0,7.573081840041759,2.3904311420083726,-4.863411356234402,-1.2364901071130139,0.3192393417989845,-7.253842498242775
pca,speaker,stenberga,ym_3,oː->ɑː,oː,ɑː,128.0,474.0,27.262853415824775,-17.454957031408494,-2.6740907477614235,-10.06452388958496,42.04371969947185,14.780866283647075
pca,speaker,stenberga,ym_3,ɑː->æː,ɑː,æː,128.0,474.0,47.12769533944659,-6.478575963645996,-6.252253458218784,-6.36541471093239,47.354017844873795,0.22632250542720556
pca,speaker,stenberga,ym_3,æː->eː,æː,eː,128.0,474.0,24.183879714413216,9.927641368812223,14.310815438427156,12.11922840361969,28.567053784028147,4.383174069614931
pca,speaker,stenberga,ym_3,yː->ʉ̟ː,yː,ʉ̟ː,128.0,474.0,10.203868683987409,7.232218941141236,0.9349042098239141,4.083561575482578,3.906553952670085,-6.297314731317323
pca,speaker,stenberga,ym_3,ʉ̟ː->øː,ʉ̟ː,øː,128.0,474.0,23.65566518158654,-16.16862402196779,-12.842504626918585,-14.50556432444319,26.981784576635746,3.326119395049208
pca,speaker,storsjo,ym_1,uː->oː,uː,oː,87.0,251.0,7.573081840041759,-7.268750583171077,-3.8525590157477594,-5.560654799459417,10.989273407465076,3.4161915674233168
pca,speaker,storsjo,ym_1,oː->ɑː,oː,ɑː,87.0,251.0,27.262853415824775,7.156123688290579,3.020980660954359,5.0885521746224684,23.127710388488556,-4.13514302733622
pca,speaker,storsjo,ym_1,ɑː->æː,ɑː,æː,87.0,251.0,47.12769533944659,10.057632652991986,2.2245792596252563,6.141105956308622,39.29464194607986,-7.833053393366733
pca,speaker,storsjo,ym_1,æː->eː,æː,eː,87.0,251.0,24.183879714413216,-1.6434263424043347,2.693127546571509,0.5248506020835882,28.52043360338906,4.336553888975843
pca,speaker,storsjo,ym_1,yː->ʉ̟ː,yː,ʉ̟ː,87.0,251.0,10.203868683987409,-18.465426601302024,-13.542849429677188,-16.004138015489605,15.126445855612246,4.922577171624837
pca,speaker,storsjo,ym_1,ʉ̟ː->øː,ʉ̟ː,øː,87.0,251.0,23.65566518158654,14.977216739414994,-10.368545254073304,2.304335742670845,-1.690096811901757,-25.345761993488296
pca,speaker,storsjo,ym_2,uː->oː,uː,oː,87.0,251.0,7.573081840041759,-4.698193878876278,6.659443253709044,0.9806246874163829,18.93071897262708,11.357637132585321
pca,speaker,storsjo,ym_2,oː->ɑː,oː,ɑː,87.0,251.0,27.262853415824775,4.989469144263097,-5.793417658775514,-0.401974257256209,16.479966612786168,-10.782886803038608
pca,speaker,storsjo,ym_2,ɑː->æː,ɑː,æː,87.0,251.0,47.12769533944659,-4.540741899781248,-6.173662774754662,-5.357202337267956,45.494774464473174,-1.632920874973415
pca,speaker,storsjo,ym_2,æː->eː,æː,eː,87.0,251.0,24.183879714413216,-12.00774490248335,-8.886764005470821,-10.447254453977086,27.30486061142574,3.120980897012526
pca,speaker,storsjo,ym_2,yː->ʉ̟ː,yː,ʉ̟ː,87.0,251.0,10.203868683987409,-4.731280274572881,3.3920792868245235,-0.6696004938741779,18.327228245384816,8.123359561397407
pca,speaker,storsjo,ym_2,ʉ̟ː->øː,ʉ̟ː,øː,87.0,251.0,23.65566518158654,4.46802763258543,0.8569636658361495,2.6624956492107894,20.044601214837265,-3.611063966749274
pca,speaker,storsjo,ym_3,uː->oː,uː,oː,87.0,251.0,7.573081840041759,0.35316839708169956,-0.7952487776664755,-0.22104019029238775,6.424664665293584,-1.1484171747481753
pca,speaker,storsjo,ym_3,oː->ɑː,oː,ɑː,87.0,251.0,27.262853415824775,10.314676956982082,2.1297557032982564,6.222216330140168,19.077932162140954,-8.184921253683822
