method,grouping,village,speaker,pair,first_vowel,second_vowel,display_x,display_y,geo_x,geo_y
pca,village,bjurholm,,æː->eː,æː,eː,-24.5769292821646,0.1717262010706735,197.0,211.0
pca,village,bjurholm,,yː->ʉ̟ː,yː,ʉ̟ː,0.6564339642448074,23.272767286948444,197.0,211.0
pca,village,bjurholm,,ʉ̟ː->øː,ʉ̟ː,øː,-4.013113994992953,12.000708004270479,197.0,211.0
pca,village,boda,,uː->oː,uː,oː,28.875548702544798,-3.7673044522440002,163.0,475.0
pca,village,boda,,oː->ɑː,oː,ɑː,18.831713720376662,-15.960203335375056,163.0,475.0
pca,village,boda,,ɑː->æː,ɑː,æː,-17.359788807469698,-23.89814140048142,163.0,475.0
pca,village,boda,,æː->eː,æː,eː,-32.674891629338504,-4.523688433466492,163.0,475.0
pca,village,boda,,yː->ʉ̟ː,yː,ʉ̟ː,-4.088559047239578,13.855411783807662,163.0,475.0
pca,village,boda,,ʉ̟ː->øː,ʉ̟ː,øː,-15.759206685169978,0.1245743148702041,163.0,475.0
pca,village,borga,,uː->oː,uː,oː,47.91675436564243,-2.563770849946184,337.0,331.0
pca,village,borga,,oː->ɑː,oː,ɑː,21.005771182206377,-17.214107021980404,337.0,331.0
pca,village,borga,,ɑː->æː,ɑː,æː,-10.027177593778449,-12.816941612923177,337.0,331.0
pca,village,borga,,æː->eː,æː,eː,-13.255257920385588,6.468165708655704,337.0,331.0
pca,village,borga,,yː->ʉ̟ː,yː,ʉ̟ː,23.689621772422253,18.689678846149643,337.0,331.0
pca,village,borga,,ʉ̟ː->øː,ʉ̟ː,øː,18.01063969608812,2.6872268803952033,337.0,331.0
pca,village,brando,,uː->oː,uː,oː,44.40295945094876,0.013839619765125377,237.0,337.0
pca,village,brando,,oː->ɑː,oː,ɑː,25.320473226236487,-18.076744164245675,237.0,337.0
pca,village,brando,,ɑː->æː,ɑː,æː,-4.310960285485783,-17.883752966222175,237.0,337.0
pca,village,brando,,æː->eː,æː,eː,-17.09219689759179,-2.9735237329913486,237.0,337.0
pca,village,brando,,yː->ʉ̟ː,yː,ʉ̟ː,19.42236030163269,15.151568477122089,237.0,337.0
pca,village,brando,,ʉ̟ː->øː,ʉ̟ː,øː,11.191161623974935,-5.172506198181878,237.0,337.0
pca,village,bredsattra,,uː->oː,uː,oː,23.501278997510195,-4.53384064353901,158.0,489.0
pca,village,bredsattra,,oː->ɑː,oː,ɑː,11.743612681706058,-16.44915731973922,158.0,489.0
pca,village,bredsattra,,ɑː->æː,ɑː,æː,-21.243308270452474,-21.829107655124908,158.0,489.0
pca,village,bredsattra,,æː->eː,æː,eː,-33.98479957179927,-4.274725640098924,158.0,489.0
pca,village,bredsattra,,yː->ʉ̟ː,yː,ʉ̟ː,-9.515791942055088,18.43100881069168,158.0,489.0
pca,village,bredsattra,,ʉ̟ː->øː,ʉ̟ː,øː,-15.39648586565837,7.9682484928295265,158.0,489.0
pca,village,broby,,uː->oː,uː,oː,11.617817368505376,2.6191115768610933,99.0,510.0
pca,village,broby,,oː->ɑː,oː,ɑː,16.761036784550498,-13.064096196684172,99.0,510.0
pca,village,broby,,ɑː->æː,ɑː,æː,-16.9779561898603,-12.505258838853289,99.0,510.0
