method,grouping,village,speaker,pair,first_vowel,second_vowel,display_x,display_y,geo_x,geo_y
fasttrack,village,grangarde,,uː->oː,uː,oː,-6.3216236134,-4.67177274905,119.0,354.0
fasttrack,village,grangarde,,oː->ɑː,oː,ɑː,-7.020532726275,-5.7102230280474995,119.0,354.0
fasttrack,village,grangarde,,ɑː->æː,ɑː,æː,-10.135823639755,-6.250934224782499,119.0,354.0
fasttrack,village,grangarde,,æː->eː,æː,eː,-13.14394776755,-6.0036627920650005,119.0,354.0
fasttrack,village,grangarde,,yː->ʉ̟ː,yː,ʉ̟ː,-12.92370911995,-4.972223603425,119.0,354.0
fasttrack,village,grangarde,,ʉ̟ː->øː,ʉ̟ː,øː,-11.887062212524999,-5.3289936690649995,119.0,354.0
fasttrack,village,graso,,uː->oː,uː,oː,-6.741916949315,-3.8711546058625,189.0,350.0
fasttrack,village,graso,,oː->ɑː,oː,ɑː,-7.295894194960001,-4.7273416791675,189.0,350.0
fasttrack,village,graso,,ɑː->æː,ɑː,æː,-10.352689223105001,-5.4193075801949995,189.0,350.0
fasttrack,village,graso,,æː->eː,æː,eː,-12.868685790675,-4.9926346118575005,189.0,350.0
fasttrack,village,graso,,yː->ʉ̟ː,yː,ʉ̟ː,-12.2023446428,-3.9000036438625,189.0,350.0
fasttrack,village,graso,,ʉ̟ː->øː,ʉ̟ː,øː,-11.1630288773,-4.7917201322125,189.0,350.0
fasttrack,village,hammaro,,uː->oː,uː,oː,-7.763365111120001,-4.318782958585,90.0,391.0
fasttrack,village,hammaro,,oː->ɑː,oː,ɑː,-8.145686718905,-5.22715249284,90.0,391.0
fasttrack,village,hammaro,,ɑː->æː,ɑː,æː,-9.98533030583,-6.01131497179,90.0,391.0
fasttrack,village,hammaro,,æː->eː,æː,eː,-12.0977734725,-5.5017460456550005,90.0,391.0
fasttrack,village,hammaro,,yː->ʉ̟ː,yː,ʉ̟ː,-12.164918135975,-4.311876438520001,90.0,391.0
fasttrack,village,hammaro,,ʉ̟ː->øː,ʉ̟ː,øː,-10.982981350674999,-4.88819606752,90.0,391.0
fasttrack,village,hamneda,,uː->oː,uː,oː,-8.15310891212,-4.65651669376,93.0,496.0
fasttrack,village,hamneda,,oː->ɑː,oː,ɑː,-8.289856118989999,-5.300482380035,93.0,496.0
fasttrack,village,hamneda,,ɑː->æː,ɑː,æː,-10.38762312731,-5.713345894610001,93.0,496.0
fasttrack,village,hamneda,,æː->eː,æː,eː,-12.558398713925,-5.12832932477,93.0,496.0
fasttrack,village,hamneda,,yː->ʉ̟ː,yː,ʉ̟ː,-12.135555127375,-3.907292612865,93.0,496.0
fasttrack,village,hamneda,,ʉ̟ː->øː,ʉ̟ː,øː,-11.565868051399999,-4.402790354405,93.0,496.0
fasttrack,village,haraker,,uː->oː,uː,oː,-6.7461089535925,-3.918403187085,149.0,373.0
fasttrack,village,haraker,,oː->ɑː,oː,ɑː,-7.3120787199,-4.8947517159125,149.0,373.0
fasttrack,village,haraker,,ɑː->æː,ɑː,æː,-9.022043040795,-5.9910502073,149.0,373.0
fasttrack,village,haraker,,æː->eː,æː,eː,-11.177338708699999,-5.7799870856624995,149.0,373.0
