village,speaker,vowel,n_speakers,n_tokens,geo_x,geo_y,display_x,display_y
dragsfjard,,ɑː,3,10,272.0,350.0,-9.10196796339,-6.0537181401849995
dragsfjard,,ʉ̟ː,3,10,272.0,350.0,-9.424313920865,-3.7467238422
faro,,eː,3,12,208.0,445.0,-12.148038511,-4.984091614584999
faro,,oː,3,14,208.0,445.0,-7.1995352215,-4.30275198662
faro,,uː,3,11,208.0,445.0,-7.93877835951,-4.91918699187
faro,,yː,3,13,208.0,445.0,-12.203493169,-3.86686185115
faro,,æː,3,22,208.0,445.0,-13.0997199384,-4.597429503485
faro,,øː,3,32,208.0,445.0,-10.5753624211,-5.180782124885001
faro,,ɑː,3,11,208.0,445.0,-8.084812740875,-5.67156409335
faro,,ʉ̟ː,3,9,208.0,445.0,-10.5094117647,-4.28435328589
floby,,eː,3,11,85.0,439.0,-14.1707278033,-4.17331089609
floby,,oː,3,13,85.0,439.0,-7.26856729378,-4.03292125318
floby,,uː,3,13,85.0,439.0,-6.7528326806150005,-3.48277657267
floby,,yː,3,14,85.0,439.0,-13.7716448465,-3.40337831955
floby,,æː,3,27,85.0,439.0,-12.9969868554,-5.563240914825
floby,,øː,3,40,85.0,439.0,-12.25019896215,-4.389650213975
floby,,ɑː,3,12,85.0,439.0,-7.9066773469200005,-5.1760560365299995
floby,,ʉ̟ː,3,13,85.0,439.0,-11.853584395150001,-3.81412293965
frandef,,eː,3,12,63.0,423.0,-13.087029045400001,-4.403336501675
frandef,,oː,3,12,63.0,423.0,-7.37118387909,-4.35776387151
frandef,,uː,3,12,63.0,423.0,-7.596096512475,-3.84293766012
frandef,,yː,3,11,63.0,423.0,-12.69104225365,-3.932199608985
frandef,,æː,3,26,63.0,423.0,-11.89712838605,-6.08103711663
frandef,,øː,3,37,63.0,423.0,-11.3855555556,-4.69964385855
frandef,,ɑː,3,12,63.0,423.0,-8.367058551469999,-5.386160208034999
frandef,,ʉ̟ː,3,13,63.0,423.0,-11.7640607049,-3.866413308665
frillesas,,eː,2,10,58.0,470.0,-13.4159642085,-4.88417038027
frillesas,,oː,2,16,58.0,470.0,-6.510982626580001,-4.471553952695
frillesas,,uː,2,7,58.0,470.0,-7.14274189689,-4.364315672595
frillesas,,yː,2,12,58.0,470.0,-11.8394206442,-4.5334053568075
frillesas,,æː,2,20,58.0,470.0,-11.9691641891,-6.284692360319999
frillesas,,øː,2,30,58.0,470.0,-10.2138144140975,-5.2924390366475
frillesas,,ɑː,2,10,58.0,470.0,-7.522384783654999,-5.551150805424999
frillesas,,ʉ̟ː,2,9,58.0,470.0,-11.181568074849999,-4.58042365136
grangarde,,eː,1,10,119.0,354.0,-13.5023999008,-5.57158540286
grangarde,,oː,1,4,119.0,354.0,-6.55491380734,-5.3543177877999995
grangarde,,uː,1,4,119.0,354.0,-6.08833341946,-3.9892277103
grangarde,,yː,1,4,119.0,354.0,-13.8353301551,-4.86212574736
grangarde,,æː,1,5,119.0,354.0,-12.7854956343,-6.43574018127
grangarde,,øː,1,10,119.0,354.0,-11.762036340249999,-5.57566587864
grangarde,,ɑː,1,4,119.0,354.0,-7.48615164521,-6.0661282682949995
grangarde,,ʉ̟ː,1,4,119.0,354.0,-12.0120880848,-5.08232145949
graso,,eː,3,24,189.0,350.0,-12.8709892931,-4.51214581607
graso,,oː,3,12,189.0,350.0,-6.75279223196,-4.08919160559
graso,,uː,3,11,189.0,350.0,-6.73104166667,-3.653117606135
graso,,yː,3,11,189.0,350.0,-12.8852510834,-3.8572897255800003
graso,,æː,3,11,189.0,350.0,-12.866382288250001,-5.473123407645
graso,,øː,3,31,189.0,350.0,-10.8066195524,-5.64072270228
graso,,ɑː,3,10,189.0,350.0,-7.8389961579600005,-5.365491752745
graso,,ʉ̟ː,3,10,189.0,350.0,-11.5194382022,-3.942717562145
hammaro,,eː,3,20,90.0,391.0,-12.6224039279,-4.72643150123
hammaro,,oː,3,13,90.0,391.0,-7.89385584325,-4.70873563218
hammaro,,uː,3,10,90.0,391.0,-7.63287437899,-3.92883028499
hammaro,,yː,3,12,90.0,391.0,-12.6525103734,-4.2751385197800005
hammaro,,æː,3,14,90.0,391.0,-11.5731430171,-6.27706059008
hammaro,,øː,3,37,90.0,391.0,-10.2886368028,-5.42777777778
hammaro,,ɑː,3,11,90.0,391.0,-8.39751759456,-5.7455693535000005
hammaro,,ʉ̟ː,3,11,90.0,391.0,-11.677325898549999,-4.34861435726
hamneda,,eː,3,14,93.0,496.0,-12.88695785565,-4.50306489954
hamneda,,oː,3,16,93.0,496.0,-8.03430555556,-4.92786672085
hamneda,,uː,3,14,93.0,496.0,-8.27191226868,-4.38516666667
hamneda,,yː,3,14,93.0,496.0,-12.67537748055,-3.92384811452
