village,vowel,n_speakers,geo_x,geo_y,display_x,display_y,geo_position,geographic_group
aspas,eː,3,112.0,229.0,-25.28538886044815,6.096860788107032,311.77528251009113,North
aspas,oː,3,112.0,229.0,37.840276853981194,-1.6678227254737699,311.77528251009113,North
aspas,uː,3,112.0,229.0,37.96509766709579,11.929767995676523,311.77528251009113,North
aspas,yː,2,112.0,229.0,-3.892049613831476,34.35049695414018,311.77528251009113,North
aspas,æː,3,112.0,229.0,-29.204779673100052,-18.381662869857742,311.77528251009113,North
aspas,øː,3,112.0,229.0,-11.0074124263248,-2.7735203936687896,311.77528251009113,North
aspas,ɑː,3,112.0,229.0,21.573463557668596,-19.45570849320412,311.77528251009113,North
aspas,ʉ̟ː,3,112.0,229.0,0.559218089541345,22.440657939305076,311.77528251009113,North
bara,eː,3,79.0,539.0,-25.176379602161525,1.1074846036971604,0.6950911219785691,South
bara,oː,3,79.0,539.0,8.843212787613357,-15.132030818428893,0.6950911219785691,South
bara,uː,3,79.0,539.0,-1.273451386651181,-2.6412322829601718,0.6950911219785691,South
bara,yː,3,79.0,539.0,-20.364616542758124,13.399386544915592,0.6950911219785691,South
bara,æː,3,79.0,539.0,-22.969452155500946,-17.062555825809167,0.6950911219785691,South
bara,øː,3,79.0,539.0,-6.5442254586385324,-11.216513885937578,0.6950911219785691,South
bara,ɑː,3,79.0,539.0,21.13657842354451,-16.691365288018908,0.6950911219785691,South
bara,ʉ̟ː,3,79.0,539.0,-0.0309647136704726,5.4001209755136,0.6950911219785691,South
bengtsf,eː,3,62.0,401.0,-9.40703007059692,22.997127919965976,133.76174405913517,Centre
bengtsf,oː,3,62.0,401.0,42.596614405270515,1.9401190127136558,133.76174405913517,Centre
bengtsf,uː,3,62.0,401.0,45.13363992941399,9.700645774834262,133.76174405913517,Centre
bengtsf,yː,3,62.0,401.0,-13.913901795181392,21.37145298521246,133.76174405913517,Centre
bengtsf,æː,3,62.0,401.0,-33.65347135785677,0.8689288548718055,133.76174405913517,Centre
bengtsf,øː,3,62.0,401.0,-9.460758169615255,3.336354614340817,133.76174405913517,Centre
bengtsf,ɑː,3,62.0,401.0,33.31311742722859,-20.39757409924328,133.76174405913517,Centre
