village,geo_x,geo_y,geo_position,geographic_group,first_x,first_y,second_x,second_y
grangarde,119.0,354.0,189.80902415725896,North,-36.24030774285737,-8.18571094278794,-32.56313730040006,0.931133626435791
graso,189.0,350.0,205.70952611928726,North,-21.412051482550723,5.521458418974654,-6.527434821578825,13.86761221996785
hammaro,90.0,391.0,148.3984439812024,Centre,-29.195705555060115,-14.891575356261749,-6.214842144832472,0.9421220548155476
hamneda,93.0,496.0,45.45474670393189,South,-29.885558651629427,-5.411301435266908,-16.691155487451226,10.536179785427318
haraker,149.0,373.0,176.21379073108554,North,-6.1782502816127725,-19.493303204455867,-11.8519818412189,7.159079841740466
jamshog,108.0,514.0,30.28210110195524,South,-32.444468758783145,0.5820760225854726,-12.775701307144711,19.28967217731885
jarnboas,117.0,378.0,165.82018913948008,North,-22.56437541809042,-7.517809210929986,-15.00344827624653,13.590260463804528
jarsnas,113.0,452.0,92.22478367908248,Centre,-24.93851181534314,-9.6226488335248,-15.96888644578907,15.507130462894931
karna,53.0,448.0,85.9151349758696,Centre,-38.15432944674172,-10.068589494476631,-21.636037720392387,6.5685956246558295
karsta,186.0,377.0,178.59395123967883,North,-10.229856094538908,2.257607164171036,-9.622402230115432,18.06527494695012
korsberga,100.0,432.0,109.7097189393582,Centre,-32.28122877722618,-14.659282078305196,-18.51128774976189,16.609162290896986
kramfors,173.0,248.0,303.4763157810137,North,-30.519269069215323,-9.055752098982142,-21.3576359359014,14.284381622340067
lanna,161.0,393.0,158.55800815800026,Centre,-25.154959350801466,-23.901398483158502,-18.402407260859345,11.021004736202732
leksand,120.0,335.0,208.70052428052836,North,-47.492590388401,-8.705040721383478,-37.901253291936925,10.651870984486514
loderup,98.0,543.0,0.0,South,-30.617968183080315,-21.01547723766175,-35.67426584745506,-13.090258351483461
malung,96.0,337.0,202.62959374041924,North,-18.288305638372023,15.927442637114666,-7.448808976727966,18.347505416757926
n_rorum,84.0,522.0,18.299385463806168,South,-26.997191399563494,-11.630593353193632,-23.127174667716922,5.303844697725599
nora,160.0,357.0,193.85787143343043,North,-8.578036318501049,-6.368034273805968,-10.478597783015193,8.846544104926563
nysatra,228.0,188.0,371.9907689659383,North,-33.060362119135775,-17.321265620126663,-17.48987649771825,2.2482027185172098
ockelbo,156.0,328.0,221.748110156052,North,-26.90467226564825,-13.513980410817789,-13.649789493389093,7.941165008655003
orust,49.0,436.0,97.05531592071132,Centre,-10.067726460954853,-0.4711216890517886,-3.231220905241215,10.618167039090114
ossjo,74.0,515.0,23.48799495009064,South,-15.322335076019359,-8.908056709498677,-2.8696000751883872,17.30638558099742
ostad,63.0,445.0,90.57950065298506,Centre,-30.462137114924825,-7.237313532423418,-21.703344265484795,8.478504635845901
ovanaker,140.0,310.0,236.74990844521912,North,-28.03712606928942,-11.230329065120623,-15.3477903025566,14.935412231582855
oxaback,71.0,468.0,69.28443627964162,South,-23.49953207763278,-12.195625999667868,-14.134664531193856,11.889435658502547
pitea,233.0,141.0,419.15398879796567,North,-35.4205366518942,-13.786618914429818,-32.47505309687807,7.345981118190551
ragunda,145.0,241.0,305.5896736367263,North,-42.56227963420311,-15.974604049489532,-23.408314669668087,0.15477164800192522
rimforsa,134.0,437.0,110.59203999318285,Centre,-31.155896057639975,-12.453883107811457,-18.63076523107209,12.01339377268279
s_finnskoga,74.0,333.0,202.8121429239692,North,-26.35402076881551,4.693420257377118,-15.350492140963485,16.1381514921836
s_mellosa,129.0,395.0,151.12029911541478,Centre,-8.430709476464973,-5.55243128407219,17.429601523336512,21.990765963375473
segerstad,153.0,510.0,41.911420243744836,South,-14.639279194759684,-13.588287250457912,-5.983303385267856,9.032460688243845
skee,42.0,404.0,127.38890525392424,Centre,-3.4266444368089015,13.469496711520362,22.04017588858218,32.55757856781858
skinnskatteberg,135.0,371.0,175.79252338443186,North,-10.365565346392184,-8.887378416727286,-0.6710247297016434,6.94011967193042
