village,vowel,n_speakers,geo_x,geo_y,display_x,display_y,geo_position,geographic_group
boda,æː,1,163.0,475.0,-1523.0,-700.0,475.0,
boda,øː,1,163.0,475.0,-1544.5,-520.0,475.0,
boda,ɑː,1,163.0,475.0,-913.0,-620.0,475.0,
boda,ʉ̟ː,1,163.0,475.0,-1480.0,-429.0,475.0,
bredsattra,eː,3,158.0,489.0,-2031.0,-485.0,489.0,
bredsattra,oː,3,158.0,489.0,-780.0,-452.0,489.0,
bredsattra,uː,3,158.0,489.0,-837.0,-405.0,489.0,
bredsattra,yː,3,158.0,489.0,-2031.0,-380.0,489.0,
bredsattra,æː,3,158.0,489.0,-1726.5,-699.0,489.0,
bredsattra,øː,3,158.0,489.0,-1581.0,-474.0,489.0,
bredsattra,ɑː,3,158.0,489.0,-975.0,-598.0,489.0,
bredsattra,ʉ̟ː,3,158.0,489.0,-1598.0,-372.0,489.0,
broby,eː,2,99.0,510.0,-1695.0,-451.75,510.0,
broby,oː,2,99.0,510.0,-922.0,-438.0,510.0,
broby,uː,2,99.0,510.0,-1473.5,-449.0,510.0,
broby,yː,2,99.0,510.0,-1677.0,-454.0,510.0,
broby,æː,2,99.0,510.0,-1716.0,-620.5,510.0,
broby,øː,2,99.0,510.0,-1391.5,-444.0,510.0,
broby,ɑː,2,99.0,510.0,-1096.5,-554.5,510.0,
broby,ʉ̟ː,2,99.0,510.0,-1587.5,-432.25,510.0,
burseryd,eː,2,84.0,478.0,-2020.0,-419.0,478.0,
burseryd,oː,2,84.0,478.0,-829.0,-444.25,478.0,
burseryd,uː,2,84.0,478.0,-951.5,-379.5,478.0,
burseryd,yː,2,84.0,478.0,-1812.25,-362.5,478.0,
burseryd,æː,2,84.0,478.0,-1572.75,-649.5,478.0,
burseryd,øː,2,84.0,478.0,-1464.5,-435.5,478.0,
burseryd,ɑː,2,84.0,478.0,-928.5,-553.0,478.0,
burseryd,ʉ̟ː,2,84.0,478.0,-1627.75,-386.0,478.0,
burtrask,eː,3,222.0,177.0,-1884.0,-491.0,177.0,
burtrask,oː,3,222.0,177.0,-758.0,-457.0,177.0,
burtrask,uː,3,222.0,177.0,-829.0,-388.0,177.0,
burtrask,yː,3,222.0,177.0,-2009.0,-360.0,177.0,
burtrask,æː,3,222.0,177.0,-1600.5,-657.0,177.0,
burtrask,øː,3,222.0,177.0,-1559.0,-536.0,177.0,
burtrask,ɑː,3,222.0,177.0,-1248.0,-708.0,177.0,
burtrask,ʉ̟ː,3,222.0,177.0,-1524.0,-382.0,177.0,
dalby,eː,2,82.0,336.0,-1924.75,-429.75,336.0,
dalby,oː,2,82.0,336.0,-793.75,-451.5,336.0,
dalby,uː,2,82.0,336.0,-740.75,-413.25,336.0,
dalby,yː,2,82.0,336.0,-1892.5,-361.0,336.0,
dalby,æː,2,82.0,336.0,-1725.0,-628.75,336.0,
dalby,øː,2,82.0,336.0,-1563.5,-489.0,336.0,
dalby,ɑː,2,82.0,336.0,-982.0,-577.5,336.0,
dalby,ʉ̟ː,2,82.0,336.0,-1610.0,-379.5,336.0,
floby,eː,3,85.0,439.0,-2385.5,-431.0,439.0,
floby,oː,3,85.0,439.0,-778.0,-410.0,439.0,
floby,uː,3,85.0,439.0,-732.5,-338.0,439.0,
floby,yː,3,85.0,439.0,-2302.0,-330.0,439.0,
floby,æː,3,85.0,439.0,-1932.0,-582.0,439.0,
floby,øː,3,85.0,439.0,-1773.0,-436.0,439.0,
floby,ɑː,3,85.0,439.0,-880.0,-529.0,439.0,
floby,ʉ̟ː,3,85.0,439.0,-1733.0,-361.5,439.0,
frandef,eː,3,63.0,423.0,-2010.5,-454.0,423.0,
frandef,oː,3,63.0,423.0,-786.0,-437.0,423.0,
frandef,uː,3,63.0,423.0,-842.0,-488.0,423.0,
frandef,yː,3,63.0,423.0,-1916.5,-377.0,423.0,
frandef,æː,3,63.0,423.0,-1732.5,-650.0,423.0,
frandef,øː,3,63.0,423.0,-1542.0,-465.0,423.0,
frandef,ɑː,3,63.0,423.0,-961.0,-546.0,423.0,
frandef,ʉ̟ː,3,63.0,423.0,-1611.0,-376.0,423.0,
frillesas,eː,2,58.0,470.0,-2062.0,-492.0,470.0,
frillesas,oː,2,58.0,470.0,-1099.5,-517.5,470.0,
frillesas,uː,2,58.0,470.0,-919.0,-495.0,470.0,
frillesas,yː,2,58.0,470.0,-1693.75,-448.0,470.0,
frillesas,æː,2,58.0,470.0,-1690.0,-669.5,470.0,
frillesas,øː,2,58.0,470.0,-1290.75,-537.0,470.0,
frillesas,ɑː,2,58.0,470.0,-843.0,-582.0,470.0,
frillesas,ʉ̟ː,2,58.0,470.0,-1537.5,-451.25,470.0,
grangarde,eː,1,119.0,354.0,-2149.0,-583.0,354.0,
grangarde,oː,1,119.0,354.0,-718.5,-589.5,354.0,
grangarde,uː,1,119.0,354.0,-1252.5,-524.5,354.0,
grangarde,yː,1,119.0,354.0,-2311.0,-524.0,354.0,
grangarde,æː,1,119.0,354.0,-1889.0,-690.0,354.0,
grangarde,øː,1,119.0,354.0,-1624.5,-567.5,354.0,
grangarde,ɑː,1,119.0,354.0,-873.0,-663.5,354.0,
grangarde,ʉ̟ː,1,119.0,354.0,-1789.0,-488.5,354.0,
graso,eː,3,189.0,350.0,-1991.0,-457.5,350.0,
graso,oː,3,189.0,350.0,-687.5,-442.5,350.0,
graso,uː,3,189.0,350.0,-745.5,-405.5,350.0,
graso,yː,3,189.0,350.0,-1950.0,-372.0,350.0,
graso,æː,3,189.0,350.0,-1958.0,-592.0,350.0,
graso,øː,3,189.0,350.0,-1428.0,-584.0,350.0,
