village,fit_basis,n_points,centroid_pc2,centroid_pc1,ellipse_angle_deg,ellipse_angle_signed_deg,ellipse_angle_from_vertical_signed_deg,major_axis_sd,minor_axis_sd,axis_ratio,orientation_reliable
haraker,vowels,8,1.363587554734894,-16.276006603749885,96.16117475023509,-83.83882524976491,-6.161174750235091,21.65470611972761,14.864319967957256,1.4568245413451988,1
haraker,midpoints,6,-1.1699559832874191,-18.33125769617315,93.51734054312158,-86.48265945687842,-3.517340543121577,19.566518936049413,12.438141314396791,1.5731063381151433,1
jarsnas,vowels,8,2.577902380729303,-7.392931678850722,82.57049985210544,82.57049985210544,7.429500147894558,25.367008445744776,11.554212799042912,2.1954769993370764,1
jarsnas,midpoints,6,0.8437522964681158,-8.585124720770319,82.95034109323632,82.95034109323632,7.049658906763682,23.79709692490745,9.074114899718394,2.6225254129905244,1
karna,vowels,8,-3.7700782961154538,2.9898906349313883,69.28665593464078,69.28665593464078,20.713344065359223,21.98788489906412,11.054952988353364,1.9889623160070278,1
karna,midpoints,6,-5.19181889092733,2.2605073928297372,68.14527619031614,68.14527619031614,21.85472380968386,20.863711004720972,8.774468681644054,2.377774855857344,1
korsberga,vowels,8,5.368830248263444,1.5395362894509725,86.58236955564404,86.58236955564404,3.4176304443559644,27.458991353606805,15.758082227833814,1.742533828456958,1
korsberga,midpoints,6,2.4647021187468856,0.2995245458392188,82.83159198104106,82.83159198104106,7.168408018958942,25.10102116834588,13.19808085314056,1.901869025326735,1
leksand,vowels,8,3.6480084672618545,1.2506503606558514,82.3072770413251,82.3072770413251,7.692722958674906,25.2844869825354,14.805808644928344,1.7077410352183955,1
leksand,midpoints,6,1.5077448491523402,-0.22403349242592027,79.67499112087957,79.67499112087957,10.325008879120432,23.121700221328854,12.216792537717499,1.8926162615878188,1
n_rorum,vowels,8,-2.478841372286972,8.587985064258287,49.63412792870308,49.63412792870308,40.36587207129692,15.610377099239287,9.802052428318198,1.5925620897660981,1
n_rorum,midpoints,6,-4.626324623192656,6.715568600148594,42.331783968425725,42.331783968425725,47.668216031574275,12.531619160090958,8.867419595438863,1.4132205006445,1
nysatra,vowels,8,0.9674343670662104,-2.4785694781617016,108.55423507374644,-71.44576492625356,-18.55423507374644,23.11103880138035,15.507324967670034,1.4903304631561332,1
nysatra,midpoints,6,-1.5704900460172702,-3.326768975032575,104.26196471640235,-75.73803528359765,-14.261964716402346,21.153637520559922,14.3624326386012,1.472845029309752,1
ossjo,vowels,8,7.9438320578733705,-16.017566333025087,64.44849759530234,64.44849759530234,25.551502404697658,17.45371035170458,15.461048706682341,1.1288826963051348,0
ossjo,midpoints,6,4.624892338289977,-17.069889198790694,28.302819814375198,28.302819814375198,61.6971801856248,14.51561102264028,13.804596984985004,1.0515055990717175,0
ostad,vowels,8,2.450847648386639,-0.18276301312791032,73.7970809202795,73.7970809202795,16.202919079720502,23.563768987640394,13.181955736378287,1.7875776143452966,1
ostad,midpoints,6,0.7685196826706487,-1.3921932844084794,70.86215816198906,70.86215816198906,19.137841838010942,22.201475072642335,11.012171125214943,2.01608518612709,1
oxaback,vowels,8,2.971544595865927,-8.25197399708041,81.08400381533447,81.08400381533447,8.91599618466553,25.74356769772746,14.290593639022555,1.8014344503807656,1
oxaback,midpoints,6,-0.11253699243214577,-9.256375990047536,79.91857271332587,79.91857271332587,10.081427286674128,23.140621106955056,12.470671665053239,1.8556034292685604,1
skinnskatteberg,vowels,8,3.859116453869235,-1.660243324459525,98.40564158285173,-81.59435841714827,-8.405641582851729,16.037164255656087,14.06977070013437,1.1398312451177992,0
skinnskatteberg,midpoints,6,1.7080937731909633,-2.969506378883422,91.22058469166561,-88.77941530833439,-1.2205846916656071,13.656509420127193,12.15919454283117,1.1231426038971317,0
skuttunge,vowels,8,9.344999376551117,-21.669910582481883,92.61972069242319,-87.38027930757681,-2.6197206924231864,26.26032314894804,17.67354275732525,1.485855072156587,1
skuttunge,midpoints,6,7.952281887474655,-23.239657469340603,84.29867946857837,84.29867946857837,5.701320531421629,23.79727720230714,14.51467819167745,1.6395318510025405,1
st_anna,vowels,8,-1.3318453365414216,-5.991975216912588,81.21939062487765,81.21939062487765,8.780609375122353,25.391258604598484,16.328468785871774,1.555029987047426,1
st_anna,midpoints,6,-2.921577032423014,-7.332054723003769,81.75763471183477,81.75763471183477,8.242365288165232,23.817910736089484,10.322771997025466,2.307317331328511,1
stenberga,vowels,8,2.3892146199280124,-7.460042638018117,72.42948787889792,72.42948787889792,17.570512121102084,23.898624524403168,12.52467063707563,1.90812399119369,1
stenberga,midpoints,6,0.29043877272078494,-9.090177049650821,70.22856371338173,70.22856371338173,19.77143628661827,21.696441479613377,10.55802090381904,2.054972392767792,1
tjallmo,vowels,8,5.641666675313739,-2.498382720425197,88.86068478083432,88.86068478083432,1.139315219165681,29.17207202840872,14.208676510906294,2.05311677030699,1
tjallmo,midpoints,6,4.594384894064176,-4.211187448544659,88.72774629815903,88.72774629815903,1.2722537018409668,27.32338580734197,8.984562811081206,3.04114806495007,1
torsas,vowels,8,1.7358671919166617,2.6336695682264417,73.71662851223388,73.71662851223388,16.283371487766118,21.44758948908777,13.88196069526934,1.5449971340429327,1
torsas,midpoints,6,-0.6329005813897476,1.2715501866894892,68.99939985132879,68.99939985132879,21.00060014867121,20.3794659281284,12.582052012232293,1.6197251377053161,1
v_vingaker,vowels,8,9.808234731714101,-13.745912585753759,91.00166545441006,-88.99833454558994,-1.001665454410059,24.31155288438813,15.672869549189882,1.5511870884961698,1
v_vingaker,midpoints,6,7.843363506268683,-14.430967563481017,88.59559947371562,88.59559947371562,1.4044005262843768,22.950367360486993,12.072223439604649,1.9010886830668694,1
vackelsang,vowels,8,1.5986812244530941,9.997938304255,70.92153744388743,70.92153744388743,19.07846255611257,23.224140132170792,10.092875075882084,2.301043058351842,1
vackelsang,midpoints,6,-0.5808541124787316,7.933141988657444,69.49026983361155,69.49026983361155,20.50973016638845,21.2313440611922,8.699580889052038,2.4405019427902235,1
