method,grouping,village,speaker,fit_basis,n_points,n_vowels,missing_vowels,geo_x,geo_y,centroid_x,centroid_y,ellipse_angle_deg,ellipse_angle_from_horizontal_signed_deg,major_axis_sd,minor_axis_sd,axis_ratio,orientation_reliable
fasttrack,village,orust,,midpoints,6,8,,49.0,436.0,-1403.75,-467.7916666666667,179.6936500889746,-0.3063499110253929,513.1721203670058,52.38234716675013,9.79666143507108,1
fasttrack,village,ossjo,,vowels,8,8,,74.0,515.0,-1556.375,-458.0,178.51360754118997,-1.4863924588100303,379.56519059474806,99.68968826270542,3.8074669227022344,1
fasttrack,village,ossjo,,midpoints,6,8,,74.0,515.0,-1486.2083333333333,-471.0833333333333,179.23067892123456,-0.7693210787654436,305.8790829960649,92.4013726565779,3.3103305091895714,1
fasttrack,village,ostad,,vowels,8,8,,63.0,445.0,-1392.78125,-477.0625,0.40851985668297175,0.40851985668297175,449.66642438905285,83.9137702624794,5.358672634807275,1
fasttrack,village,ostad,,midpoints,6,8,,63.0,445.0,-1364.7916666666667,-485.4166666666667,0.7529591285340871,0.7529591285340871,417.7920620428398,76.44774344168212,5.465067289547283,1
fasttrack,village,ovanaker,,vowels,8,8,,140.0,310.0,-1327.5625,-461.875,179.3991643962125,-0.6008356037874876,506.59562337410193,91.08842987326383,5.561580368428299,1
fasttrack,village,ovanaker,,midpoints,6,8,,140.0,310.0,-1287.5,-474.25,179.21466501582242,-0.785334984177581,462.41876635380345,75.82601482226632,6.098418431163735,1
fasttrack,village,oxaback,,vowels,8,8,,71.0,468.0,-1403.0625,-472.125,179.92418896790826,-0.07581103209173534,529.0853395032377,77.7059644789303,6.808812464411241,1
fasttrack,village,oxaback,,midpoints,6,8,,71.0,468.0,-1335.625,-483.2083333333333,179.8932491712395,-0.10675082876051079,456.58082410757106,72.92962514587559,6.260567268710172,1
fasttrack,village,pitea,,vowels,8,8,,233.0,141.0,-1422.3125,-494.9375,178.20583503225086,-1.7941649677491398,487.22973619983213,109.77670624531666,4.438370879073616,1
fasttrack,village,pitea,,midpoints,6,8,,233.0,141.0,-1368.125,-510.75,178.09341003922788,-1.9065899607721235,452.18010138665335,100.92323647186475,4.4804359946652275,1
fasttrack,village,ragunda,,vowels,8,8,,145.0,241.0,-1405.1875,-501.5,179.02258886101887,-0.9774111389811253,461.2791874584648,73.32466674573287,6.290914202965797,1
fasttrack,village,ragunda,,midpoints,6,8,,145.0,241.0,-1341.375,-507.3333333333333,179.49987681843672,-0.5001231815632821,401.710104346103,60.69392459636914,6.6186213367743605,1
fasttrack,village,ref,,vowels,8,8,,185.0,379.0,-1307.375,-474.625,177.37874553790826,-2.6212544620917413,600.8517747330277,157.15404799167877,3.82332992634617,1
fasttrack,village,ref,,midpoints,6,8,,185.0,379.0,-1221.8333333333333,-492.1666666666667,179.0967539281291,-0.9032460718709103,442.8832414623636,139.6132793294502,3.1722143021744875,1
fasttrack,village,rimforsa,,vowels,8,8,,134.0,437.0,-1357.1875,-500.6875,179.7278442001861,-0.2721557998139019,442.1257496201262,83.1600764102325,5.316562570711208,1
fasttrack,village,rimforsa,,midpoints,6,8,,134.0,437.0,-1318.375,-506.7083333333333,1.7715104768524839,1.7715104768524839,402.63635729110666,61.8895625611862,6.505723107883436,1
fasttrack,village,s_finnskoga,,vowels,8,8,,74.0,333.0,-1417.8125,-475.4375,1.3719756865175157,1.3719756865175157,581.905126949905,96.36771103131376,6.038382781145653,1
