village,speaker,vowel,n_speakers,n_tokens,geo_x,geo_y,display_x,display_y
broby,,ʉ̟ː,2,7,99.0,510.0,-1581.75,-412.25
burseryd,,eː,2,10,84.0,478.0,-2008.0,-413.5
burseryd,,oː,2,10,84.0,478.0,-835.5,-442.75
burseryd,,uː,2,11,84.0,478.0,-965.25,-384.0
burseryd,,yː,2,9,84.0,478.0,-1826.75,-376.5
burseryd,,æː,2,13,84.0,478.0,-1573.5,-633.5
burseryd,,øː,2,30,84.0,478.0,-1486.0,-435.5
burseryd,,ɑː,2,10,84.0,478.0,-936.0,-555.0
burseryd,,ʉ̟ː,2,9,84.0,478.0,-1638.0,-384.25
burtrask,,eː,3,22,222.0,177.0,-1871.5,-492.0
burtrask,,oː,3,12,222.0,177.0,-811.0,-460.0
burtrask,,uː,3,17,222.0,177.0,-823.0,-360.0
burtrask,,yː,3,12,222.0,177.0,-1994.0,-384.0
burtrask,,æː,3,25,222.0,177.0,-1596.5,-660.5
burtrask,,øː,3,42,222.0,177.0,-1554.0,-543.0
burtrask,,ɑː,3,12,222.0,177.0,-1254.0,-703.0
burtrask,,ʉ̟ː,3,11,222.0,177.0,-1540.0,-390.5
dalby,,eː,2,15,82.0,336.0,-1906.75,-423.5
dalby,,oː,2,8,82.0,336.0,-790.75,-431.5
dalby,,uː,2,8,82.0,336.0,-748.5,-378.75
dalby,,yː,2,7,82.0,336.0,-1870.0,-385.25
dalby,,æː,2,7,82.0,336.0,-1739.75,-642.75
dalby,,øː,2,21,82.0,336.0,-1515.5,-491.0
dalby,,ɑː,2,8,82.0,336.0,-981.0,-569.75
dalby,,ʉ̟ː,2,7,82.0,336.0,-1500.0,-391.25
dragsfjard,,eː,3,18,272.0,350.0,-1898.0,-505.5
dragsfjard,,oː,3,9,272.0,350.0,-852.0,-506.0
dragsfjard,,uː,3,9,272.0,350.0,-668.0,-383.0
dragsfjard,,yː,3,9,272.0,350.0,-1842.0,-363.5
dragsfjard,,æː,3,8,272.0,350.0,-1950.0,-517.0
dragsfjard,,øː,3,30,272.0,350.0,-1585.0,-481.5
dragsfjard,,ɑː,3,10,272.0,350.0,-1099.0,-638.0
dragsfjard,,ʉ̟ː,3,10,272.0,350.0,-1157.5,-372.0
faro,,eː,3,12,208.0,445.0,-1758.5,-507.5
faro,,oː,3,14,208.0,445.0,-794.0,-431.0
faro,,uː,3,11,208.0,445.0,-905.0,-500.0
faro,,yː,3,13,208.0,445.0,-1773.0,-384.5
faro,,æː,3,22,208.0,445.0,-2027.5,-463.5
faro,,øː,3,32,208.0,445.0,-1386.0,-530.5
faro,,ɑː,3,11,208.0,445.0,-928.0,-590.0
faro,,ʉ̟ː,3,9,208.0,445.0,-1372.0,-429.0
floby,,eː,3,11,85.0,439.0,-2379.5,-417.0
floby,,oː,3,13,85.0,439.0,-804.0,-402.0
floby,,uː,3,13,85.0,439.0,-731.0,-345.0
floby,,yː,3,14,85.0,439.0,-2241.0,-337.0
floby,,æː,3,27,85.0,439.0,-1996.0,-576.5
floby,,øː,3,40,85.0,439.0,-1785.5,-440.5
floby,,ɑː,3,12,85.0,439.0,-900.0,-530.0
floby,,ʉ̟ː,3,13,85.0,439.0,-1682.5,-379.0
frandef,,eː,3,12,63.0,423.0,-2023.0,-442.0
frandef,,oː,3,12,63.0,423.0,-819.0,-437.0
frandef,,uː,3,12,63.0,423.0,-852.5,-382.0
frandef,,yː,3,11,63.0,423.0,-1907.0,-391.5
frandef,,æː,3,26,63.0,423.0,-1693.5,-641.5
frandef,,øː,3,37,63.0,423.0,-1568.0,-475.0
frandef,,ɑː,3,12,63.0,423.0,-973.5,-555.0
frandef,,ʉ̟ː,3,13,63.0,423.0,-1660.0,-384.5
frillesas,,eː,2,10,58.0,470.0,-2136.5,-496.0
frillesas,,oː,2,16,58.0,470.0,-702.5,-451.0
frillesas,,uː,2,7,58.0,470.0,-789.25,-438.25
frillesas,,yː,2,12,58.0,470.0,-1680.0,-456.5
frillesas,,æː,2,20,58.0,470.0,-1719.5,-668.0
frillesas,,øː,2,30,58.0,470.0,-1312.75,-543.75
frillesas,,ɑː,2,10,58.0,470.0,-842.5,-575.0
frillesas,,ʉ̟ː,2,9,58.0,470.0,-1522.0,-461.75
grangarde,,eː,1,10,119.0,354.0,-2152.5,-577.5
grangarde,,oː,1,4,119.0,354.0,-704.0,-551.5
grangarde,,uː,1,4,119.0,354.0,-642.5,-397.5
grangarde,,yː,1,4,119.0,354.0,-2262.5,-493.5
grangarde,,æː,1,5,119.0,354.0,-1934.0,-688.0
grangarde,,øː,1,10,119.0,354.0,-1659.5,-578.0
grangarde,,ɑː,1,4,119.0,354.0,-836.0,-640.0
grangarde,,ʉ̟ː,1,4,119.0,354.0,-1723.0,-519.0
graso,,eː,3,24,189.0,350.0,-1959.0,-454.0
graso,,oː,3,12,189.0,350.0,-731.0,-408.0
graso,,uː,3,11,189.0,350.0,-728.0,-362.5
graso,,yː,3,11,189.0,350.0,-1963.0,-383.5
graso,,æː,3,11,189.0,350.0,-1957.5,-565.5
graso,,øː,3,31,189.0,350.0,-1436.0,-586.0
graso,,ɑː,3,10,189.0,350.0,-889.5,-552.5
graso,,ʉ̟ː,3,10,189.0,350.0,-1600.0,-392.5
hammaro,,eː,3,20,90.0,391.0,-1887.5,-478.5
hammaro,,oː,3,13,90.0,391.0,-898.0,-476.0
hammaro,,uː,3,10,90.0,391.0,-858.0,-391.0
hammaro,,yː,3,12,90.0,391.0,-1896.0,-428.0
hammaro,,æː,3,14,90.0,391.0,-1613.0,-667.0
hammaro,,øː,3,37,90.0,391.0,-1326.0,-560.0
hammaro,,ɑː,3,11,90.0,391.0,-978.5,-599.0
hammaro,,ʉ̟ː,3,11,90.0,391.0,-1638.5,-436.0
hamneda,,eː,3,14,93.0,496.0,-1963.5,-453.0
hamneda,,oː,3,16,93.0,496.0,-920.0,-501.0
hamneda,,uː,3,14,93.0,496.0,-958.0,-440.0
hamneda,,yː,3,14,93.0,496.0,-1902.5,-390.5
hamneda,,æː,3,27,93.0,496.0,-1780.0,-600.0
hamneda,,øː,3,48,93.0,496.0,-1604.0,-499.5
hamneda,,ɑː,3,14,93.0,496.0,-1003.0,-590.0
hamneda,,ʉ̟ː,3,14,93.0,496.0,-1618.5,-387.0
haraker,,eː,3,24,149.0,373.0,-1709.5,-510.0
haraker,,oː,3,14,149.0,373.0,-762.0,-437.5
haraker,,uː,3,12,149.0,373.0,-699.0,-344.5
haraker,,yː,3,12,149.0,373.0,-1855.0,-406.0
haraker,,æː,3,13,149.0,373.0,-1348.0,-704.0
haraker,,øː,3,38,149.0,373.0,-1332.0,-528.0
haraker,,ɑː,3,12,149.0,373.0,-860.5,-560.0
haraker,,ʉ̟ː,3,15,149.0,373.0,-1413.0,-393.0
houtskar,,eː,1,8,245.0,347.0,-1881.5,-576.5
houtskar,,oː,1,4,245.0,347.0,-898.0,-513.5
houtskar,,uː,1,4,245.0,347.0,-775.0,-362.0
houtskar,,yː,1,3,245.0,347.0,-2099.0,-385.0
houtskar,,æː,1,4,245.0,347.0,-1747.0,-686.5
houtskar,,øː,1,12,245.0,347.0,-1745.5,-528.5
houtskar,,ɑː,1,5,245.0,347.0,-1277.0,-668.0
houtskar,,ʉ̟ː,1,4,245.0,347.0,-1293.0,-443.0
jamshog,,eː,3,14,108.0,514.0,-2104.5,-458.0
jamshog,,oː,3,15,108.0,514.0,-1006.0,-590.0
jamshog,,uː,3,26,108.0,514.0,-1183.0,-404.0
jamshog,,yː,3,19,108.0,514.0,-1566.0,-407.0
jamshog,,æː,3,35,108.0,514.0,-1750.5,-588.0
jamshog,,øː,3,55,108.0,514.0,-1240.0,-450.0
jamshog,,ɑː,3,15,108.0,514.0,-1274.0,-688.0
jamshog,,ʉ̟ː,3,19,108.0,514.0,-1497.5,-383.0
jarnboas,,eː,3,24,117.0,378.0,-2066.0,-407.5
jarnboas,,oː,3,13,117.0,378.0,-735.0,-416.0
jarnboas,,uː,3,11,117.0,378.0,-986.5,-409.5
jarnboas,,yː,3,13,117.0,378.0,-1693.0,-409.5
jarnboas,,æː,3,14,117.0,378.0,-1524.0,-574.0
jarnboas,,øː,3,41,117.0,378.0,-1461.5,-516.0
jarnboas,,ɑː,3,13,117.0,378.0,-907.0,-562.0
jarnboas,,ʉ̟ː,3,12,117.0,378.0,-1443.0,-419.5
jarsnas,,eː,3,12,113.0,452.0,-1890.5,-414.0
jarsnas,,oː,3,13,113.0,452.0,-768.5,-425.0
jarsnas,,uː,3,14,113.0,452.0,-833.0,-401.0
jarsnas,,yː,3,12,113.0,452.0,-1755.0,-401.0
jarsnas,,æː,3,29,113.0,452.0,-1650.0,-616.0
jarsnas,,øː,3,35,113.0,452.0,-1373.0,-499.0
jarsnas,,ɑː,3,14,113.0,452.0,-934.0,-527.5
jarsnas,,ʉ̟ː,3,12,113.0,452.0,-1496.0,-427.5
karna,,eː,3,16,53.0,448.0,-1968.0,-492.5
karna,,oː,3,15,53.0,448.0,-871.0,-498.5
karna,,uː,3,15,53.0,448.0,-910.0,-458.0
karna,,yː,3,14,53.0,448.0,-1631.0,-422.0
karna,,æː,3,32,53.0,448.0,-1749.0,-606.0
karna,,øː,3,51,53.0,448.0,-1394.0,-562.5
karna,,ɑː,3,15,53.0,448.0,-1004.0,-576.0
karna,,ʉ̟ː,3,15,53.0,448.0,-1684.0,-434.0
karsta,,eː,3,30,186.0,377.0,-2044.0,-410.0
karsta,,oː,3,13,186.0,377.0,-713.0,-444.5
karsta,,uː,3,17,186.0,377.0,-782.0,-400.0
karsta,,yː,3,16,186.0,377.0,-2102.0,-331.0
karsta,,æː,3,15,186.0,377.0,-1809.0,-521.0
karsta,,øː,3,44,186.0,377.0,-1641.0,-487.0
karsta,,ɑː,3,14,186.0,377.0,-911.0,-545.5
karsta,,ʉ̟ː,3,13,186.0,377.0,-1657.0,-382.0
korsberga,,eː,3,17,100.0,432.0,-2150.0,-407.0
korsberga,,oː,3,14,100.0,432.0,-755.0,-442.5
korsberga,,uː,3,14,100.0,432.0,-749.0,-392.0
korsberga,,yː,3,16,100.0,432.0,-2021.0,-351.5
korsberga,,æː,3,31,100.0,432.0,-1641.5,-664.0
korsberga,,øː,3,48,100.0,432.0,-1563.0,-472.0
korsberga,,ɑː,3,16,100.0,432.0,-858.5,-585.0
korsberga,,ʉ̟ː,3,15,100.0,432.0,-1557.0,-362.5
kramfors,,eː,3,8,173.0,248.0,-2047.0,-469.0
kramfors,,oː,3,12,173.0,248.0,-867.0,-459.0
kramfors,,uː,3,7,173.0,248.0,-841.0,-394.0
kramfors,,yː,3,9,173.0,248.0,-1960.0,-405.0
kramfors,,æː,3,18,173.0,248.0,-1780.5,-615.5
kramfors,,øː,3,25,173.0,248.0,-1591.0,-514.0
kramfors,,ɑː,3,9,173.0,248.0,-915.0,-592.0
kramfors,,ʉ̟ː,3,9,173.0,248.0,-1603.0,-368.0
kyrkslatt,,eː,3,13,310.0,347.0,-2037.5,-505.5
kyrkslatt,,oː,3,14,310.0,347.0,-843.0,-510.0
kyrkslatt,,uː,3,14,310.0,347.0,-648.0,-329.0
kyrkslatt,,yː,3,13,310.0,347.0,-1807.0,-355.0
kyrkslatt,,æː,3,27,310.0,347.0,-2095.0,-497.0
kyrkslatt,,øː,3,38,310.0,347.0,-1666.5,-498.5
kyrkslatt,,ɑː,3,12,310.0,347.0,-1160.0,-637.0
kyrkslatt,,ʉ̟ː,3,13,310.0,347.0,-1112.5,-348.5
lanna,,eː,2,15,161.0,393.0,-1830.75,-450.0
lanna,,oː,2,11,161.0,393.0,-783.75,-420.25
lanna,,uː,2,8,161.0,393.0,-859.25,-391.25
lanna,,yː,2,8,161.0,393.0,-1887.5,-379.0
lanna,,æː,2,8,161.0,393.0,-1414.0,-699.25
lanna,,øː,2,22,161.0,393.0,-1249.0,-561.0
lanna,,ɑː,2,9,161.0,393.0,-985.25,-572.0
lanna,,ʉ̟ː,2,8,161.0,393.0,-1543.0,-420.0
leksand,,eː,2,15,120.0,335.0,-2062.25,-470.25
leksand,,oː,2,8,120.0,335.0,-788.25,-464.5
leksand,,uː,2,8,120.0,335.0,-835.5,-411.0
leksand,,yː,2,8,120.0,335.0,-2044.5,-347.0
leksand,,æː,2,8,120.0,335.0,-1811.25,-651.5
leksand,,øː,2,25,120.0,335.0,-1502.0,-537.75
leksand,,ɑː,2,7,120.0,335.0,-917.0,-601.75
leksand,,ʉ̟ː,2,8,120.0,335.0,-1582.5,-371.5
loderup,,eː,3,12,98.0,543.0,-1727.0,-639.0
loderup,,oː,3,13,98.0,543.0,-1405.0,-629.0
loderup,,uː,3,15,98.0,543.0,-1610.0,-518.0
loderup,,yː,3,12,98.0,543.0,-1556.0,-511.0
loderup,,æː,3,23,98.0,543.0,-1470.0,-680.0
loderup,,øː,3,36,98.0,543.0,-1298.0,-641.0
loderup,,ɑː,3,12,98.0,543.0,-956.0,-661.0
loderup,,ʉ̟ː,3,13,98.0,543.0,-1369.0,-479.0
malung,,eː,3,25,96.0,337.0,-2085.0,-424.0
malung,,oː,3,15,96.0,337.0,-787.0,-427.0
malung,,uː,3,15,96.0,337.0,-900.5,-355.0
malung,,yː,3,11,96.0,337.0,-2016.0,-337.0
malung,,æː,3,9,96.0,337.0,-2154.5,-462.0
malung,,øː,3,44,96.0,337.0,-1654.0,-448.0
malung,,ɑː,3,15,96.0,337.0,-919.0,-587.0
malung,,ʉ̟ː,3,13,96.0,337.0,-1488.0,-338.0
n_rorum,,eː,2,9,84.0,522.0,-1960.25,-495.25
n_rorum,,oː,2,11,84.0,522.0,-1297.25,-496.75
n_rorum,,uː,2,9,84.0,522.0,-1495.0,-448.25
n_rorum,,yː,2,9,84.0,522.0,-1857.75,-437.75
