method,grouping,village,speaker,pair,first_vowel,second_vowel,display_x,display_y,geo_x,geo_y
fasttrack,village,burseryd,,ɑː->æː,ɑː,æː,-1254.75,-594.25,84.0,478.0
fasttrack,village,burseryd,,æː->eː,æː,eː,-1790.75,-523.5,84.0,478.0
fasttrack,village,burseryd,,yː->ʉ̟ː,yː,ʉ̟ː,-1732.375,-380.375,84.0,478.0
fasttrack,village,burseryd,,ʉ̟ː->øː,ʉ̟ː,øː,-1562.0,-409.875,84.0,478.0
fasttrack,village,burtrask,,uː->oː,uː,oː,-817.0,-410.0,222.0,177.0
fasttrack,village,burtrask,,oː->ɑː,oː,ɑː,-1032.5,-581.5,222.0,177.0
fasttrack,village,burtrask,,ɑː->æː,ɑː,æː,-1425.25,-681.75,222.0,177.0
fasttrack,village,burtrask,,æː->eː,æː,eː,-1734.0,-576.25,222.0,177.0
fasttrack,village,burtrask,,yː->ʉ̟ː,yː,ʉ̟ː,-1767.0,-387.25,222.0,177.0
fasttrack,village,burtrask,,ʉ̟ː->øː,ʉ̟ː,øː,-1547.0,-466.75,222.0,177.0
fasttrack,village,dalby,,uː->oː,uː,oː,-769.625,-405.125,82.0,336.0
fasttrack,village,dalby,,oː->ɑː,oː,ɑː,-885.875,-500.625,82.0,336.0
fasttrack,village,dalby,,ɑː->æː,ɑː,æː,-1360.375,-606.25,82.0,336.0
fasttrack,village,dalby,,æː->eː,æː,eː,-1823.25,-533.125,82.0,336.0
fasttrack,village,dalby,,yː->ʉ̟ː,yː,ʉ̟ː,-1685.0,-388.25,82.0,336.0
fasttrack,village,dalby,,ʉ̟ː->øː,ʉ̟ː,øː,-1507.75,-441.125,82.0,336.0
fasttrack,village,dragsfjard,,uː->oː,uː,oː,-760.0,-444.5,272.0,350.0
fasttrack,village,dragsfjard,,oː->ɑː,oː,ɑː,-975.5,-572.0,272.0,350.0
fasttrack,village,dragsfjard,,ɑː->æː,ɑː,æː,-1524.5,-577.5,272.0,350.0
fasttrack,village,dragsfjard,,æː->eː,æː,eː,-1924.0,-511.25,272.0,350.0
fasttrack,village,dragsfjard,,yː->ʉ̟ː,yː,ʉ̟ː,-1499.75,-367.75,272.0,350.0
fasttrack,village,dragsfjard,,ʉ̟ː->øː,ʉ̟ː,øː,-1371.25,-426.75,272.0,350.0
fasttrack,village,faro,,uː->oː,uː,oː,-849.5,-465.5,208.0,445.0
fasttrack,village,faro,,oː->ɑː,oː,ɑː,-861.0,-510.5,208.0,445.0
fasttrack,village,faro,,ɑː->æː,ɑː,æː,-1477.75,-526.75,208.0,445.0
fasttrack,village,faro,,æː->eː,æː,eː,-1893.0,-485.5,208.0,445.0
fasttrack,village,faro,,yː->ʉ̟ː,yː,ʉ̟ː,-1572.5,-406.75,208.0,445.0
fasttrack,village,faro,,ʉ̟ː->øː,ʉ̟ː,øː,-1379.0,-479.75,208.0,445.0
fasttrack,village,floby,,uː->oː,uː,oː,-767.5,-373.5,85.0,439.0
fasttrack,village,floby,,oː->ɑː,oː,ɑː,-852.0,-466.0,85.0,439.0
fasttrack,village,floby,,ɑː->æː,ɑː,æː,-1448.0,-553.25,85.0,439.0
fasttrack,village,floby,,æː->eː,æː,eː,-2187.75,-496.75,85.0,439.0
fasttrack,village,floby,,yː->ʉ̟ː,yː,ʉ̟ː,-1961.75,-358.0,85.0,439.0
fasttrack,village,floby,,ʉ̟ː->øː,ʉ̟ː,øː,-1734.0,-409.75,85.0,439.0
fasttrack,village,frandef,,uː->oː,uː,oː,-835.75,-409.5,63.0,423.0
fasttrack,village,frandef,,oː->ɑː,oː,ɑː,-896.25,-496.0,63.0,423.0
fasttrack,village,frandef,,ɑː->æː,ɑː,æː,-1333.5,-598.25,63.0,423.0
fasttrack,village,frandef,,æː->eː,æː,eː,-1858.25,-541.75,63.0,423.0
fasttrack,village,frandef,,yː->ʉ̟ː,yː,ʉ̟ː,-1783.5,-388.0,63.0,423.0
fasttrack,village,frandef,,ʉ̟ː->øː,ʉ̟ː,øː,-1614.0,-429.75,63.0,423.0
fasttrack,village,frillesas,,uː->oː,uː,oː,-745.875,-444.625,58.0,470.0
fasttrack,village,frillesas,,oː->ɑː,oː,ɑː,-772.5,-513.0,58.0,470.0
fasttrack,village,frillesas,,ɑː->æː,ɑː,æː,-1281.0,-621.5,58.0,470.0
fasttrack,village,frillesas,,æː->eː,æː,eː,-1928.0,-582.0,58.0,470.0
fasttrack,village,frillesas,,yː->ʉ̟ː,yː,ʉ̟ː,-1601.0,-459.125,58.0,470.0
fasttrack,village,frillesas,,ʉ̟ː->øː,ʉ̟ː,øː,-1417.375,-502.75,58.0,470.0
fasttrack,village,grangarde,,uː->oː,uː,oː,-673.25,-474.5,119.0,354.0
fasttrack,village,grangarde,,oː->ɑː,oː,ɑː,-770.0,-595.75,119.0,354.0
fasttrack,village,grangarde,,ɑː->æː,ɑː,æː,-1385.0,-664.0,119.0,354.0
fasttrack,village,grangarde,,æː->eː,æː,eː,-2043.25,-632.75,119.0,354.0
fasttrack,village,grangarde,,yː->ʉ̟ː,yː,ʉ̟ː,-1992.75,-506.25,119.0,354.0
fasttrack,village,grangarde,,ʉ̟ː->øː,ʉ̟ː,øː,-1691.25,-548.5,119.0,354.0
fasttrack,village,graso,,uː->oː,uː,oː,-729.5,-385.25,189.0,350.0
fasttrack,village,graso,,oː->ɑː,oː,ɑː,-810.25,-480.25,189.0,350.0
fasttrack,village,graso,,ɑː->æː,ɑː,æː,-1423.5,-559.0,189.0,350.0
fasttrack,village,graso,,æː->eː,æː,eː,-1958.25,-509.75,189.0,350.0
fasttrack,village,graso,,yː->ʉ̟ː,yː,ʉ̟ː,-1781.5,-388.0,189.0,350.0
fasttrack,village,graso,,ʉ̟ː->øː,ʉ̟ː,øː,-1518.0,-489.25,189.0,350.0
fasttrack,village,hammaro,,uː->oː,uː,oː,-878.0,-433.5,90.0,391.0
fasttrack,village,hammaro,,oː->ɑː,oː,ɑː,-938.25,-537.5,90.0,391.0
fasttrack,village,hammaro,,ɑː->æː,ɑː,æː,-1295.75,-633.0,90.0,391.0
fasttrack,village,hammaro,,æː->eː,æː,eː,-1750.25,-572.75,90.0,391.0
fasttrack,village,hammaro,,yː->ʉ̟ː,yː,ʉ̟ː,-1767.25,-432.0,90.0,391.0
fasttrack,village,hammaro,,ʉ̟ː->øː,ʉ̟ː,øː,-1482.25,-498.0,90.0,391.0
fasttrack,village,hamneda,,uː->oː,uː,oː,-939.0,-470.5,93.0,496.0
fasttrack,village,hamneda,,oː->ɑː,oː,ɑː,-961.5,-545.5,93.0,496.0
fasttrack,village,hamneda,,ɑː->æː,ɑː,æː,-1391.5,-595.0,93.0,496.0
fasttrack,village,hamneda,,æː->eː,æː,eː,-1871.75,-526.5,93.0,496.0
fasttrack,village,hamneda,,yː->ʉ̟ː,yː,ʉ̟ː,-1760.5,-388.75,93.0,496.0
fasttrack,village,hamneda,,ʉ̟ː->øː,ʉ̟ː,øː,-1611.25,-443.25,93.0,496.0
fasttrack,village,haraker,,uː->oː,uː,oː,-730.5,-391.0,149.0,373.0
fasttrack,village,haraker,,oː->ɑː,oː,ɑː,-811.25,-498.75,149.0,373.0
fasttrack,village,haraker,,ɑː->æː,ɑː,æː,-1104.25,-632.0,149.0,373.0
fasttrack,village,haraker,,æː->eː,æː,eː,-1528.75,-607.0,149.0,373.0
fasttrack,village,haraker,,yː->ʉ̟ː,yː,ʉ̟ː,-1634.0,-399.5,149.0,373.0
fasttrack,village,haraker,,ʉ̟ː->øː,ʉ̟ː,øː,-1372.5,-460.5,149.0,373.0
fasttrack,village,houtskar,,uː->oː,uː,oː,-836.5,-437.75,245.0,347.0
fasttrack,village,houtskar,,oː->ɑː,oː,ɑː,-1087.5,-590.75,245.0,347.0
fasttrack,village,houtskar,,ɑː->æː,ɑː,æː,-1512.0,-677.25,245.0,347.0
fasttrack,village,houtskar,,æː->eː,æː,eː,-1814.25,-631.5,245.0,347.0
fasttrack,village,houtskar,,yː->ʉ̟ː,yː,ʉ̟ː,-1696.0,-414.0,245.0,347.0
fasttrack,village,houtskar,,ʉ̟ː->øː,ʉ̟ː,øː,-1519.25,-485.75,245.0,347.0
fasttrack,village,jamshog,,uː->oː,uː,oː,-1094.5,-497.0,108.0,514.0
fasttrack,village,jamshog,,oː->ɑː,oː,ɑː,-1140.0,-639.0,108.0,514.0
fasttrack,village,jamshog,,ɑː->æː,ɑː,æː,-1512.25,-638.0,108.0,514.0
fasttrack,village,jamshog,,æː->eː,æː,eː,-1927.5,-523.0,108.0,514.0
fasttrack,village,jamshog,,yː->ʉ̟ː,yː,ʉ̟ː,-1531.75,-395.0,108.0,514.0
fasttrack,village,jamshog,,ʉ̟ː->øː,ʉ̟ː,øː,-1368.75,-416.5,108.0,514.0
fasttrack,village,jarnboas,,uː->oː,uː,oː,-860.75,-412.75,117.0,378.0
fasttrack,village,jarnboas,,oː->ɑː,oː,ɑː,-821.0,-489.0,117.0,378.0
fasttrack,village,jarnboas,,ɑː->æː,ɑː,æː,-1215.5,-568.0,117.0,378.0
fasttrack,village,jarnboas,,æː->eː,æː,eː,-1795.0,-490.75,117.0,378.0
fasttrack,village,jarnboas,,yː->ʉ̟ː,yː,ʉ̟ː,-1568.0,-414.5,117.0,378.0
fasttrack,village,jarnboas,,ʉ̟ː->øː,ʉ̟ː,øː,-1452.25,-467.75,117.0,378.0
fasttrack,village,jarsnas,,uː->oː,uː,oː,-800.75,-413.0,113.0,452.0
fasttrack,village,jarsnas,,oː->ɑː,oː,ɑː,-851.25,-476.25,113.0,452.0
fasttrack,village,jarsnas,,ɑː->æː,ɑː,æː,-1292.0,-571.75,113.0,452.0
fasttrack,village,jarsnas,,æː->eː,æː,eː,-1770.25,-515.0,113.0,452.0
fasttrack,village,jarsnas,,yː->ʉ̟ː,yː,ʉ̟ː,-1625.5,-414.25,113.0,452.0
fasttrack,village,jarsnas,,ʉ̟ː->øː,ʉ̟ː,øː,-1434.5,-463.25,113.0,452.0
fasttrack,village,karna,,uː->oː,uː,oː,-890.5,-478.25,53.0,448.0
fasttrack,village,karna,,oː->ɑː,oː,ɑː,-937.5,-537.25,53.0,448.0
fasttrack,village,karna,,ɑː->æː,ɑː,æː,-1376.5,-591.0,53.0,448.0
fasttrack,village,karna,,æː->eː,æː,eː,-1858.5,-549.25,53.0,448.0
fasttrack,village,karna,,yː->ʉ̟ː,yː,ʉ̟ː,-1657.5,-428.0,53.0,448.0
fasttrack,village,karna,,ʉ̟ː->øː,ʉ̟ː,øː,-1539.0,-498.25,53.0,448.0
fasttrack,village,karsta,,uː->oː,uː,oː,-747.5,-422.25,186.0,377.0
fasttrack,village,karsta,,oː->ɑː,oː,ɑː,-812.0,-495.0,186.0,377.0
fasttrack,village,karsta,,ɑː->æː,ɑː,æː,-1360.0,-533.25,186.0,377.0
fasttrack,village,karsta,,æː->eː,æː,eː,-1926.5,-465.5,186.0,377.0
fasttrack,village,karsta,,yː->ʉ̟ː,yː,ʉ̟ː,-1879.5,-356.5,186.0,377.0
fasttrack,village,karsta,,ʉ̟ː->øː,ʉ̟ː,øː,-1649.0,-434.5,186.0,377.0
fasttrack,village,korsberga,,uː->oː,uː,oː,-752.0,-417.25,100.0,432.0
fasttrack,village,korsberga,,oː->ɑː,oː,ɑː,-806.75,-513.75,100.0,432.0
fasttrack,village,korsberga,,ɑː->æː,ɑː,æː,-1250.0,-624.5,100.0,432.0
fasttrack,village,korsberga,,æː->eː,æː,eː,-1895.75,-535.5,100.0,432.0
fasttrack,village,korsberga,,yː->ʉ̟ː,yː,ʉ̟ː,-1789.0,-357.0,100.0,432.0
fasttrack,village,korsberga,,ʉ̟ː->øː,ʉ̟ː,øː,-1560.0,-417.25,100.0,432.0
fasttrack,village,kramfors,,uː->oː,uː,oː,-854.0,-426.5,173.0,248.0
fasttrack,village,kramfors,,oː->ɑː,oː,ɑː,-891.0,-525.5,173.0,248.0
fasttrack,village,kramfors,,ɑː->æː,ɑː,æː,-1347.75,-603.75,173.0,248.0
fasttrack,village,kramfors,,æː->eː,æː,eː,-1913.75,-542.25,173.0,248.0
fasttrack,village,kramfors,,yː->ʉ̟ː,yː,ʉ̟ː,-1781.5,-386.5,173.0,248.0
fasttrack,village,kramfors,,ʉ̟ː->øː,ʉ̟ː,øː,-1597.0,-441.0,173.0,248.0
fasttrack,village,kyrkslatt,,uː->oː,uː,oː,-745.5,-419.5,310.0,347.0
fasttrack,village,kyrkslatt,,oː->ɑː,oː,ɑː,-1001.5,-573.5,310.0,347.0
fasttrack,village,kyrkslatt,,ɑː->æː,ɑː,æː,-1627.5,-567.0,310.0,347.0
fasttrack,village,kyrkslatt,,æː->eː,æː,eː,-2066.25,-501.25,310.0,347.0
fasttrack,village,kyrkslatt,,yː->ʉ̟ː,yː,ʉ̟ː,-1459.75,-351.75,310.0,347.0
fasttrack,village,kyrkslatt,,ʉ̟ː->øː,ʉ̟ː,øː,-1389.5,-423.5,310.0,347.0
fasttrack,village,lanna,,uː->oː,uː,oː,-821.5,-405.75,161.0,393.0
fasttrack,village,lanna,,oː->ɑː,oː,ɑː,-884.5,-496.125,161.0,393.0
fasttrack,village,lanna,,ɑː->æː,ɑː,æː,-1199.625,-635.625,161.0,393.0
fasttrack,village,lanna,,æː->eː,æː,eː,-1622.375,-574.625,161.0,393.0
fasttrack,village,lanna,,yː->ʉ̟ː,yː,ʉ̟ː,-1715.25,-399.5,161.0,393.0
fasttrack,village,lanna,,ʉ̟ː->øː,ʉ̟ː,øː,-1396.0,-490.5,161.0,393.0
fasttrack,village,leksand,,uː->oː,uː,oː,-811.875,-437.75,120.0,335.0
fasttrack,village,leksand,,oː->ɑː,oː,ɑː,-852.625,-533.125,120.0,335.0
fasttrack,village,leksand,,ɑː->æː,ɑː,æː,-1364.125,-626.625,120.0,335.0
fasttrack,village,leksand,,æː->eː,æː,eː,-1936.75,-560.875,120.0,335.0
fasttrack,village,leksand,,yː->ʉ̟ː,yː,ʉ̟ː,-1813.5,-359.25,120.0,335.0
fasttrack,village,leksand,,ʉ̟ː->øː,ʉ̟ː,øː,-1542.25,-454.625,120.0,335.0
fasttrack,village,loderup,,uː->oː,uː,oː,-1507.5,-573.5,98.0,543.0
fasttrack,village,loderup,,oː->ɑː,oː,ɑː,-1180.5,-645.0,98.0,543.0
fasttrack,village,loderup,,ɑː->æː,ɑː,æː,-1213.0,-670.5,98.0,543.0
fasttrack,village,loderup,,æː->eː,æː,eː,-1598.5,-659.5,98.0,543.0
fasttrack,village,loderup,,yː->ʉ̟ː,yː,ʉ̟ː,-1462.5,-495.0,98.0,543.0
fasttrack,village,loderup,,ʉ̟ː->øː,ʉ̟ː,øː,-1333.5,-560.0,98.0,543.0
fasttrack,village,malung,,uː->oː,uː,oː,-843.75,-391.0,96.0,337.0
fasttrack,village,malung,,oː->ɑː,oː,ɑː,-853.0,-507.0,96.0,337.0
fasttrack,village,malung,,ɑː->æː,ɑː,æː,-1536.75,-524.5,96.0,337.0
fasttrack,village,malung,,æː->eː,æː,eː,-2119.75,-443.0,96.0,337.0
fasttrack,village,malung,,yː->ʉ̟ː,yː,ʉ̟ː,-1752.0,-337.5,96.0,337.0
fasttrack,village,malung,,ʉ̟ː->øː,ʉ̟ː,øː,-1571.0,-393.0,96.0,337.0
fasttrack,village,n_rorum,,uː->oː,uː,oː,-1396.125,-472.5,84.0,522.0
fasttrack,village,n_rorum,,oː->ɑː,oː,ɑː,-1163.375,-521.375,84.0,522.0
fasttrack,village,n_rorum,,ɑː->æː,ɑː,æː,-1363.125,-573.75,84.0,522.0
fasttrack,village,n_rorum,,æː->eː,æː,eː,-1828.5,-548.375,84.0,522.0
fasttrack,village,n_rorum,,yː->ʉ̟ː,yː,ʉ̟ː,-1680.25,-420.0,84.0,522.0
fasttrack,village,n_rorum,,ʉ̟ː->øː,ʉ̟ː,øː,-1467.625,-452.875,84.0,522.0
fasttrack,village,narpes,,uː->oː,uː,oː,-810.0,-436.75,237.0,258.0
fasttrack,village,narpes,,oː->ɑː,oː,ɑː,-910.0,-520.75,237.0,258.0
fasttrack,village,narpes,,ɑː->æː,ɑː,æː,-1548.5,-542.75,237.0,258.0
fasttrack,village,narpes,,æː->eː,æː,eː,-1726.0,-585.25,237.0,258.0
fasttrack,village,narpes,,yː->ʉ̟ː,yː,ʉ̟ː,-1556.0,-488.5,237.0,258.0
fasttrack,village,narpes,,ʉ̟ː->øː,ʉ̟ː,øː,-1575.0,-470.0,237.0,258.0
fasttrack,village,nora,,uː->oː,uː,oː,-873.0,-375.5,160.0,357.0
fasttrack,village,nora,,oː->ɑː,oː,ɑː,-867.0,-486.0,160.0,357.0
fasttrack,village,nora,,ɑː->æː,ɑː,æː,-1309.0,-585.0,160.0,357.0
fasttrack,village,nora,,æː->eː,æː,eː,-1634.5,-544.0,160.0,357.0
fasttrack,village,nora,,yː->ʉ̟ː,yː,ʉ̟ː,-1572.0,-345.75,160.0,357.0
fasttrack,village,nora,,ʉ̟ː->øː,ʉ̟ː,øː,-1598.5,-448.0,160.0,357.0
fasttrack,village,nysatra,,uː->oː,uː,oː,-799.5,-427.0,228.0,188.0
fasttrack,village,nysatra,,oː->ɑː,oː,ɑː,-889.0,-544.75,228.0,188.0
fasttrack,village,nysatra,,ɑː->æː,ɑː,æː,-1303.25,-654.25,228.0,188.0
fasttrack,village,nysatra,,æː->eː,æː,eː,-1713.0,-606.5,228.0,188.0
