village,vowel,n_speakers,geo_x,geo_y,display_x,display_y,geo_position,geographic_group
bengtsf,øː,3,62.0,401.0,-11.408724619800001,-4.888751403624999,133.76174405913517,Centre
bengtsf,ɑː,3,62.0,401.0,-7.56646723647,-5.46903992963,133.76174405913517,Centre
bengtsf,ʉ̟ː,3,62.0,401.0,-10.8972131148,-4.11736819907,133.76174405913517,Centre
berg,eː,3,112.0,252.0,-12.447062755000001,-5.31542690604,289.11343963427134,North
berg,oː,3,112.0,252.0,-7.36437724982,-4.68213727908,289.11343963427134,North
berg,uː,3,112.0,252.0,-7.31659328762,-3.49266261925,289.11343963427134,North
berg,yː,3,112.0,252.0,-13.0737672782,-3.82376068376,289.11343963427134,North
berg,æː,3,112.0,252.0,-11.9227322404,-6.394430678565,289.11343963427134,North
berg,øː,3,112.0,252.0,-10.91294982095,-5.26516212715,289.11343963427134,North
berg,ɑː,3,112.0,252.0,-8.12257083621,-5.737544957,289.11343963427134,North
berg,ʉ̟ː,3,112.0,252.0,-11.3897761405,-3.957311179745,289.11343963427134,North
bjurholm,eː,3,197.0,211.0,-12.5384728033,-4.48506014102,344.0326593930225,North
bjurholm,oː,3,197.0,211.0,-7.14682189181,-4.60194719472,344.0326593930225,North
bjurholm,uː,3,197.0,211.0,-7.26168657257,-4.07038971618,344.0326593930225,North
bjurholm,yː,3,197.0,211.0,-13.1431,-3.79493367565,344.0326593930225,North
bjurholm,æː,3,197.0,211.0,-11.65092520765,-6.1197488014850006,344.0326593930225,North
bjurholm,øː,3,197.0,211.0,-11.355944334,-4.78374219741,344.0326593930225,North
bjurholm,ɑː,3,197.0,211.0,-8.47932249322,-5.676908982624999,344.0326593930225,North
bjurholm,ʉ̟ː,3,197.0,211.0,-11.6874979172,-3.73705705706,344.0326593930225,North
boda,eː,3,163.0,475.0,-13.0333341599,-4.539130759275,78.10530644374003,Centre
boda,oː,3,163.0,475.0,-6.96102941176,-4.57508467575,78.10530644374003,Centre
boda,uː,1,163.0,475.0,-7.455028471035,-4.26171545532,78.10530644374003,Centre
boda,yː,3,163.0,475.0,-12.712322744,-3.9667940552,78.10530644374003,Centre
boda,æː,3,163.0,475.0,-11.61822531975,-6.33405128382,78.10530644374003,Centre
boda,øː,3,163.0,475.0,-11.3219535919,-4.88439739414,78.10530644374003,Centre
boda,ɑː,3,163.0,475.0,-8.5513900135,-5.77761997659,78.10530644374003,Centre
boda,ʉ̟ː,3,163.0,475.0,-11.21258007095,-4.38516666667,78.10530644374003,Centre
bredsattra,eː,3,158.0,489.0,-13.1233650476,-4.832,63.4569046509324,South
bredsattra,oː,3,158.0,489.0,-7.13,-4.42159733777,63.4569046509324,South
bredsattra,uː,3,158.0,489.0,-7.6130017762,-3.94782830429,63.4569046509324,South
bredsattra,yː,3,158.0,489.0,-12.8886646279,-4.08929054054,63.4569046509324,South
bredsattra,æː,3,158.0,489.0,-11.99645746645,-6.424486347725,63.4569046509324,South
bredsattra,øː,3,158.0,489.0,-11.5235832631,-4.62874330449,63.4569046509324,South
bredsattra,ɑː,3,158.0,489.0,-8.33341530055,-5.65692307692,63.4569046509324,South
bredsattra,ʉ̟ː,3,158.0,489.0,-11.655006958,-3.98572761986,63.4569046509324,South
broby,eː,3,99.0,510.0,-12.16944824725,-4.50312474099,32.68566535202928,South
broby,oː,2,99.0,510.0,-8.074286153935,-4.353143299905,32.68566535202928,South
broby,uː,3,99.0,510.0,-11.5813706294,-4.7969255928,32.68566535202928,South
broby,yː,3,99.0,510.0,-12.4188551833,-4.63766062603,32.68566535202928,South
broby,æː,3,99.0,510.0,-12.2373490112,-5.81753894081,32.68566535202928,South
broby,øː,3,99.0,510.0,-10.8565776343,-4.46696554587,32.68566535202928,South
broby,ɑː,3,99.0,510.0,-8.71142761618,-5.31964898285,32.68566535202928,South
broby,ʉ̟ː,3,99.0,510.0,-11.7279091664,-4.668812575775,32.68566535202928,South
burseryd,eː,2,84.0,478.0,-13.0284008638,-4.140711046165,61.65247618276582,South
burseryd,oː,2,84.0,478.0,-7.47492927707,-4.402099986775,61.65247618276582,South
burseryd,uː,2,84.0,478.0,-8.297460546404999,-3.847728831235,61.65247618276582,South
burseryd,yː,2,84.0,478.0,-12.395616135575,-3.7864596932075,61.65247618276582,South
burseryd,æː,2,84.0,478.0,-11.390311270275,-6.0182370125,61.65247618276582,South
burseryd,øː,2,84.0,478.0,-11.0169611201,-4.34299597013,61.65247618276582,South
burseryd,ɑː,2,84.0,478.0,-8.13181921447,-5.37870865064,61.65247618276582,South
burseryd,ʉ̟ː,2,84.0,478.0,-11.66555153455,-3.86375990143,61.65247618276582,South
burtrask,eː,3,222.0,177.0,-12.56511692005,-4.84949429038,381.8039577688209,North
burtrask,oː,3,222.0,177.0,-7.31659328762,-4.565815373105,381.8039577688209,North
burtrask,uː,3,222.0,177.0,-7.39836148042,-3.63017241379,381.8039577688209,North
burtrask,yː,3,222.0,177.0,-12.990268083,-3.86208191126,381.8039577688209,North
burtrask,æː,3,222.0,177.0,-11.5046314885,-6.227484366575,381.8039577688209,North
burtrask,øː,3,222.0,177.0,-11.3262151394,-5.28615261686,381.8039577688209,North
burtrask,ɑː,3,222.0,177.0,-9.9304044804,-6.54751783703,381.8039577688209,North
burtrask,ʉ̟ː,3,222.0,177.0,-11.26433948365,-3.923993788045,381.8039577688209,North
dalby,eː,3,82.0,336.0,-13.0104040404,-3.98572761986,201.22302887742558,North
