village,geo_x,geo_y,geo_position,geographic_group,first_x,first_y,second_x,second_y
hamneda,93.0,496.0,45.45474670393189,South,-8.54540668242,-5.67309803922,-12.2298395722,-5.75359375
haraker,149.0,373.0,176.21379073108554,North,-7.64914438644,-5.427511802165,-10.394941695149999,-6.5545886124349995
jamshog,108.0,514.0,30.28210110195524,South,-10.0315151515,-6.43574018127,-12.1178199999,-5.65692307692
jarnboas,117.0,378.0,165.82018913948008,North,-7.9515530045,-5.44431403648,-11.1974512055,-5.54298342541
jarsnas,113.0,452.0,92.22478367908248,Centre,-8.12257083621,-5.155144644125,-11.7238781163,-5.88108695652
karna,53.0,448.0,85.9151349758696,Centre,-8.5513900135,-5.55933753943,-12.1124076571,-5.801577582729999
karsta,186.0,377.0,178.59395123967883,North,-7.97710902125,-5.30709286203,-12.3379464049,-5.09993688412
korsberga,100.0,432.0,109.7097189393582,Centre,-7.6360832085000006,-5.6326129666,-11.68951002985,-6.254002217769999
kramfors,173.0,248.0,303.4763157810137,North,-8.00257391304,-5.6892476489,-12.23167526275,-5.87664615522
lanna,161.0,393.0,158.55800815800026,Centre,-8.4321291197475,-5.525867086145,-10.6840073153,-6.5085020510425
leksand,120.0,335.0,208.70052428052836,North,-8.0141204530475,-5.7675528718825,-12.345013250225001,-6.15766791001
loderup,98.0,543.0,0.0,South,-8.25948474777,-6.23131629149,-10.958666453149998,-6.375466121135
malung,96.0,337.0,202.62959374041924,North,-8.02796804446,-5.64882606989,-13.507251388850001,-4.58398706595
n_rorum,84.0,522.0,18.299385463806168,South,-8.70219895042,-5.310630461925,-11.838660121724999,-5.7651988569
nora,160.0,357.0,193.85787143343043,North,-8.36400954654,-5.55116370809,-11.7036893204,-5.71342465753
nysatra,228.0,188.0,371.9907689659383,North,-8.52743243243,-5.877119850790001,-11.5463369424,-6.4729597369850005
ockelbo,156.0,328.0,221.748110156052,North,-8.64657718121,-5.61637436099,-11.599784692850001,-6.341412787145
orust,49.0,436.0,97.05531592071132,Centre,-7.72505649718,-5.30657834311,-12.7542261689,-5.23991233032
ossjo,74.0,515.0,23.48799495009064,South,-8.51542934415,-5.20194143602,-12.20914487145,-6.16223583461
ostad,63.0,445.0,90.57950065298506,Centre,-8.159912675792501,-5.5734928257,-12.26710575245,-5.860383320312501
ovanaker,140.0,310.0,236.74990844521912,North,-7.59308677098,-5.4112152502,-11.7660795172,-5.76941750028
oxaback,71.0,468.0,69.28443627964162,South,-7.93877612502,-5.43187410238,-11.916823971300001,-5.83737753596
pitea,233.0,141.0,419.15398879796567,North,-8.07223839224,-5.92848954299,-11.7640706744,-6.476871352645
ragunda,145.0,241.0,305.5896736367263,North,-7.82929775281,-5.36969359331,-11.5525336323,-5.89691233514
rimforsa,134.0,437.0,110.59203999318285,Centre,-8.11629450398,-5.41949980151,-11.5772579743,-6.11198743189
s_finnskoga,74.0,333.0,202.8121429239692,North,-7.54254050233,-5.660962054555,-13.047161084799999,-6.01019154222
s_mellosa,129.0,395.0,151.12029911541478,Centre,-8.22240549828,-5.5019849743,-12.3231341301,-5.94424148607
segerstad,153.0,510.0,41.911420243744836,South,-8.27808153477,-5.21883767535,-11.59164192135,-5.55933753943
skee,42.0,404.0,127.38890525392424,Centre,-7.62625488108,-5.08290439693,-12.1808317682,-5.31964898285
skinnskatteberg,135.0,371.0,175.79252338443186,North,-8.565565258615,-5.366384259745001,-10.27595612355,-5.7021790394825
skog,157.0,317.0,232.75723014860148,North,-7.86808689559,-5.43604918683,-11.685464426,-6.02650390156
skuttunge,171.0,364.0,188.8401092599555,North,-8.610117947407499,-5.3048311182,-12.37150979855,-5.54659020547
sorsele,166.0,143.0,405.736623807046,North,-8.254406423685001,-6.1852435929350005,-11.4446668139,-6.5935919286225
sorunda,181.0,406.0,149.16608670177132,Centre,-8.192447845370001,-5.76850234477,-11.86185119615,-6.5510187614625
st_anna,157.0,436.0,115.50682570414243,Centre,-8.099793652662498,-5.433395554425,-11.7075421637,-5.942221506285
stenberga,128.0,474.0,73.11094801174586,South,-8.09114572516,-5.737544957,-12.8988948307,-5.47714824264
storsjo,87.0,251.0,285.8275543303726,North,-7.90028681357,-5.4772264899,-11.77899863695,-6.3112949165500005
strom,132.0,211.0,332.92758406040195,North,-7.97073170732,-5.52660347551,-11.8020496856,-6.034325273795
tjallmo,128.0,416.0,130.2582039594654,Centre,-7.868077853865,-5.510194383635,-11.908989202099999,-5.59195567732
torhamn,135.0,521.0,27.997895933433075,South,-8.11315416762,-5.56750492708,-12.8852510834,-5.57512265817
torp,145.0,265.0,281.9425332445665,North,-8.393843475845001,-5.5563805749425,-12.327065255575,-5.6683641609999995
torsas,144.0,504.0,46.285579526498864,South,-8.379242139045001,-5.25254901961,-11.279257779,-6.14681992337
torso,95.0,414.0,126.59083766943033,Centre,-7.552786509465,-4.96251521298,-12.102715269499999,-5.76538800008
v_vingaker,139.0,402.0,145.93168962913032,Centre,-7.70532197057,-5.306999315015,-11.760023046299999,-5.904766806115
vackelsang,116.0,500.0,45.44304483319151,South,-7.948281808685,-5.42777777778,-12.2635689517,-5.95581978531
vaxtorp,78.0,504.0,35.00965688106874,South,-7.99621433542,-5.506084807875,-11.9579503952,-6.29992395437
vemdalen,102.0,266.0,273.610801277416,North,-7.59308677098,-5.19348314607,-12.1694736842,-5.904812756715
viby,116.0,402.0,142.0022014345107,Centre,-7.8820638481100005,-5.7977033090425,-12.2852834163,-6.228880908055
vilhelmina,152.0,178.0,368.85934835581264,North,-7.93237430168,-5.58382040173,-11.9266539197,-6.03044315992
villberga,166.0,379.0,173.2064099508079,North,-8.150639355165,-5.644736200105,-11.8359000184,-5.84141269947
