village,geo_x,geo_y,geo_position,geographic_group,first_x,first_y,second_x,second_y
graso,189.0,350.0,205.70952611928726,North,-6.75279223196,-4.08919160559,-7.8389961579600005,-5.365491752745
hammaro,90.0,391.0,148.3984439812024,Centre,-7.89385584325,-4.70873563218,-8.39751759456,-5.7455693535000005
hamneda,93.0,496.0,45.45474670393189,South,-8.03430555556,-4.92786672085,-8.54540668242,-5.67309803922
haraker,149.0,373.0,176.21379073108554,North,-6.97501305336,-4.36199162966,-7.64914438644,-5.427511802165
jamshog,108.0,514.0,30.28210110195524,South,-8.56334457181,-5.67309803922,-10.0315151515,-6.43574018127
jarnboas,117.0,378.0,165.82018913948008,North,-6.78051875783,-4.16400673401,-7.9515530045,-5.44431403648
jarsnas,113.0,452.0,92.22478367908248,Centre,-7.02102621483,-4.24746331237,-8.12257083621,-5.155144644125
karna,53.0,448.0,85.9151349758696,Centre,-7.718354072625,-4.906132057495,-8.5513900135,-5.55933753943
karsta,186.0,377.0,178.59395123967883,North,-6.62133931912,-4.4260661062699995,-7.97710902125,-5.30709286203
korsberga,100.0,432.0,109.7097189393582,Centre,-6.92545119705,-4.407835424125,-7.6360832085000006,-5.6326129666
kramfors,173.0,248.0,303.4763157810137,North,-7.69223912274,-4.55713931377,-8.00257391304,-5.6892476489
lanna,161.0,393.0,158.55800815800026,Centre,-7.113326960709999,-4.2032090459875,-8.4321291197475,-5.525867086145
leksand,120.0,335.0,208.70052428052836,North,-7.15425764484,-4.6013482669325,-8.0141204530475,-5.7675528718825
loderup,98.0,543.0,0.0,South,-10.6640713224,-5.98351487061,-8.25948474777,-6.23131629149
malung,96.0,337.0,202.62959374041924,North,-7.15091372406,-4.26592375367,-8.02796804446,-5.64882606989
n_rorum,84.0,522.0,18.299385463806168,South,-10.14474155752,-4.88366622991,-8.70219895042,-5.310630461925
nora,160.0,357.0,193.85787143343043,North,-6.96761811243,-3.98571156766,-8.36400954654,-5.55116370809
nysatra,228.0,188.0,371.9907689659383,North,-7.08803506209,-4.691010682,-8.52743243243,-5.877119850790001
ockelbo,156.0,328.0,221.748110156052,North,-7.16483084758,-4.3669057548,-8.64657718121,-5.61637436099
orust,49.0,436.0,97.05531592071132,Centre,-6.93969819654,-4.53916425321,-7.72505649718,-5.30657834311
ossjo,74.0,515.0,23.48799495009064,South,-9.18022779043,-4.58404624277,-8.51542934415,-5.20194143602
ostad,63.0,445.0,90.57950065298506,Centre,-7.443970726825,-4.39428571429,-8.159912675792501,-5.5734928257
ovanaker,140.0,310.0,236.74990844521912,North,-6.76008915305,-4.57508467575,-7.59308677098,-5.4112152502
oxaback,71.0,468.0,69.28443627964162,South,-6.971567240755,-4.56611570248,-7.93877612502,-5.43187410238
pitea,233.0,141.0,419.15398879796567,North,-7.13,-4.60194719472,-8.07223839224,-5.92848954299
ragunda,145.0,241.0,305.5896736367263,North,-7.43222381636,-4.7881390593,-7.82929775281,-5.36969359331
rimforsa,134.0,437.0,110.59203999318285,Centre,-7.1749769865449995,-4.284214543345,-8.11629450398,-5.41949980151
