village,geo_x,geo_y,geo_position,geographic_group,first_x,first_y,second_x,second_y
nysatra,228.0,188.0,371.9907689659383,North,-13.070447461,-4.15469473684,-11.7198448324,-3.94782830429
ockelbo,156.0,328.0,221.748110156052,North,-12.768146053,-3.76603256213,-11.7560641238,-3.79493367565
orust,49.0,436.0,97.05531592071132,Centre,-11.6387071608,-4.10801687764,-12.0007608696,-3.9142678128800004
ossjo,74.0,515.0,23.48799495009064,South,-13.00190534415,-3.871637716075,-11.084048583,-3.45306689835
ostad,63.0,445.0,90.57950065298506,Centre,-11.414641155175,-4.06529558267,-11.79540462065,-3.78137189311
ovanaker,140.0,310.0,236.74990844521912,North,-12.2373490112,-3.64968130922,-11.4569816643,-3.7756745182
oxaback,71.0,468.0,69.28443627964162,South,-13.11841192655,-4.07053254438,-10.8156612715,-3.924050438345
pitea,233.0,141.0,419.15398879796567,North,-12.7941268585,-3.82374427916,-11.8000881786,-3.91931914894
ragunda,145.0,241.0,305.5896736367263,North,-13.1266583229,-4.29355648536,-11.2276940705,-4.20117647059
rimforsa,134.0,437.0,110.59203999318285,Centre,-12.2463439437,-4.316529866235,-11.624312119399999,-4.39884144166
s_finnskoga,74.0,333.0,202.8121429239692,North,-13.148019364949999,-3.926500784835,-11.59352960565,-4.06500337779
s_mellosa,129.0,395.0,151.12029911541478,Centre,-12.43888184545,-3.99514628639,-11.6672080089,-4.14537489469
segerstad,153.0,510.0,41.911420243744836,South,-13.113422415350001,-3.58074019836,-11.60585986285,-4.032347021815
skee,42.0,404.0,127.38890525392424,Centre,-11.65693968135,-3.707990213265,-11.236035198949999,-3.5959412765499996
skinnskatteberg,135.0,371.0,175.79252338443186,North,-10.279121829705,-3.50867969809,-11.1453780938,-3.745710126545
skog,157.0,317.0,232.75723014860148,North,-13.070447461,-4.28435328589,-11.6712705032,-4.25669740151
skuttunge,171.0,364.0,188.8401092599555,North,-12.89134554045,-3.512370545095,-11.4859953781,-3.77688330361
sorsele,166.0,143.0,405.736623807046,North,-13.046781793325,-4.01144853949,-12.00798590685,-3.8860213280525002
